partition_seed,target_fpir,stage,reference_method,candidate_method,reference_realized_fpir,reference_tpir_at_rank_k,reference_target_met_on_test,reference_target_met_by_wilson_upper,candidate_realized_fpir,candidate_tpir_at_rank_k,candidate_target_met_on_test,candidate_target_met_by_wilson_upper,delta_fpir,delta_fpir_ci_low,delta_fpir_ci_high,fpir_resampling_unit,delta_tpir_at_rank_k,delta_tpir_at_rank_k_ci_low,delta_tpir_at_rank_k_ci_high,tpir_at_rank_k_resampling_unit,tpir_ci_direction,operating_point_status,same_realized_fpir_enforced,test_based_selection
5,0.1,add_gallery_distortion,continuous_fiqa_margin,continuous_fiqa_margin_distortion,0.0974896497338503,0.013736491071280804,True,True,0.10717454163107051,0.012561441835062807,False,False,0.009684891897220214,0.008411644870868108,0.011024265623973186,query,-0.0011750492362179964,-0.0021630287753715517,-0.00014704556072532557,mated_identity_cluster,decrease,candidate_misses_target,False,False
5,0.1,runnerup_control,continuous_fiqa,continuous_fiqa_runnerup,0.097834658605507,0.014679840458103702,True,True,0.10415160675560228,0.016218989457656853,False,False,0.006316948150095288,0.004098828612735757,0.008699152263915358,query,0.0015391489995531503,-0.0035814466739949283,0.006112068860322127,mated_identity_cluster,includes_zero,candidate_misses_target,False,False
5,0.2,continuous_vs_2bin,fiqa_2bin,continuous_fiqa,0.18144180850364724,0.025437333465733247,True,True,0.1874958927515279,0.0274564321533191,True,True,0.00605408424788066,0.004624761779588618,0.00755754255109417,query,0.0020190986875858533,0.0003200302420072112,0.0037467898981413486,mated_identity_cluster,increase,both_point_targets_met,False,False
5,0.2,continuous_vs_5bin,fiqa_5bin,continuous_fiqa,0.18515476112242887,0.026049683067706005,True,True,0.1874958927515279,0.0274564321533191,True,True,0.002341131629099034,0.0010514556088585135,0.0036472366432279686,query,0.0014067490856130944,0.0004900628876241016,0.002352982282206294,mated_identity_cluster,increase,both_point_targets_met,False,False
5,0.2,add_margin,continuous_fiqa,continuous_fiqa_margin,0.1874958927515279,0.0274564321533191,True,True,0.18802162055595714,0.026777882594376315,True,True,0.0005257278044292567,0.00012301209173950223,0.0009528816455280279,query,-0.0006785495589427867,-0.001065865963168607,-0.0003295101712492657,mated_identity_cluster,decrease,both_point_targets_met,False,False
5,0.2,add_gallery_distortion,continuous_fiqa_margin,continuous_fiqa_margin_distortion,0.18802162055595714,0.026777882594376315,True,True,0.20593743839127293,0.02470913393906294,False,False,0.017915817835315765,0.016141486495367025,0.019706783531576524,query,-0.002068748655313374,-0.0036372935113016176,-0.0004178265438390421,mated_identity_cluster,decrease,candidate_misses_target,False,False
5,0.2,runnerup_control,continuous_fiqa,continuous_fiqa_runnerup,0.1874958927515279,0.0274564321533191,True,True,0.20379345468883486,0.020935736391771344,False,False,0.01629756193730696,0.013340137674968786,0.01947698297956233,query,-0.006520695761547755,-0.01333049738092557,-0.000737516237934288,mated_identity_cluster,decrease,candidate_misses_target,False,False
5,0.3,continuous_vs_2bin,fiqa_2bin,continuous_fiqa,0.27079089176578824,0.0380980752362511,True,True,0.2795968324899783,0.03947172434337918,True,True,0.00880594072419005,0.0071299779851481905,0.010547824801209171,query,0.0013736491071280803,-0.0005865342279398434,0.0033034324845881476,mated_identity_cluster,includes_zero,both_point_targets_met,False,False
5,0.3,continuous_vs_5bin,fiqa_5bin,continuous_fiqa,0.27656568311756585,0.03904142462307399,True,True,0.2795968324899783,0.03947172434337918,True,True,0.0030311493724124333,0.0015443254255109416,0.004567671025826376,query,0.0004302997203051818,-0.0006387355726666294,0.0015656230251245,mated_identity_cluster,includes_zero,both_point_targets_met,False,False
5,0.3,add_margin,continuous_fiqa,continuous_fiqa_margin,0.2795968324899783,0.03947172434337918,True,True,0.2795557600052573,0.03915727454777154,True,True,-4.1072484721035685e-05,-0.000493075179076033,0.0003942958533219426,query,-0.00031444979560763285,-0.0006223048862972452,-1.5736592451844236e-05,mated_identity_cluster,decrease,both_point_targets_met,False,False
