method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_safe,0.2,conditional-threshold-15b7e5d7417a555785cdae24,all,73447,25378,-0.5320034623146057,1.0,-0.5320034623146057,-0.5358492732048035,-0.5320034623146057,False,0.19999455389600665,0.19355347151075736,True,True
fiqa_s_2bin,0.2,conditional-threshold-4bbdb2e5506e244b87873b3c,low,36600,12634,-0.5089086890220642,0.9945652173913043,-0.5089086890220642,-0.5122743844985962,-0.5089086890220642,False,0.2,0.19431692258983696,True,True
fiqa_s_2bin,0.2,conditional-threshold-4bbdb2e5506e244b87873b3c,high,36847,12744,-0.5638251304626465,0.9946014522093557,-0.5636533396663712,-0.5668296813964844,-0.5636533396663712,False,0.19977203028740467,0.19554300062774638,True,True
fiqa_l_2bin,0.2,conditional-threshold-7118c0cb70b280811c134ec1,low,36880,12160,-0.5095375180244446,0.9946062567421791,-0.5095375180244446,-0.5169355273246765,-0.5095375180244446,False,0.2,0.18585526315789475,True,True
fiqa_l_2bin,0.2,conditional-threshold-7118c0cb70b280811c134ec1,high,36567,13218,-0.5702028870582581,0.9945603394348193,-0.5699950951538674,-0.5688672065734863,-0.5688672065734863,False,0.1982115021740914,0.1999546073536087,True,True
fiqa_s_5bin,0.2,conditional-threshold-8f678d8a0a9788d1cd57fe7c,q1,14509,4947,-0.5065165162086487,0.9864028825888912,-0.5065165162086487,-0.5060969591140747,-0.5060969591140747,False,0.1990488662209663,0.19991914291489793,True,True
fiqa_s_5bin,0.2,conditional-threshold-8f678d8a0a9788d1cd57fe7c,q2,14732,5142,-0.5068577527999878,0.98660594695955,-0.5068577527999878,-0.5161347389221191,-0.5068577527999878,False,0.1999728482215585,0.18514196810579542,True,True
fiqa_s_5bin,0.2,conditional-threshold-8f678d8a0a9788d1cd57fe7c,q3,14684,5025,-0.5202682018280029,0.9865627519484009,-0.5202682018280029,-0.5228186845779419,-0.5202682018280029,False,0.19994551893217108,0.19601990049751244,True,True
fiqa_s_5bin,0.2,conditional-threshold-8f678d8a0a9788d1cd57fe7c,q4,14762,5130,-0.5395815372467041,0.9866328031011897,-0.5394802396269729,-0.5410405993461609,-0.5394802396269729,False,0.19970193740685543,0.1980506822612086,True,True
fiqa_s_5bin,0.2,conditional-threshold-8f678d8a0a9788d1cd57fe7c,q5,14760,5134,-0.6362227201461792,0.9866310160427807,-0.6348294145601956,-0.6366078853607178,-0.6348294145601956,False,0.19871273712737128,0.19770159719516947,True,True
fiqa_l_5bin,0.2,conditional-threshold-43fa2487619f97b797551392,q1,14722,4610,-0.5298864841461182,0.9865969709154269,-0.5298864841461182,-0.5446920394897461,-0.5298864841461182,False,0.1999728297785627,0.1702819956616052,True,True
