split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
test,q2,24395,0.2003926529539331,385,0.015781922525107604,-0.3464012145996094,-0.3286899912357325,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
test,q3,23810,0.19558717224157193,365,0.015329693406131877,-0.3481459617614746,-0.33099957376718525,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
test,q4,24481,0.2010990996911349,323,0.013193905477717413,-0.35185423493385315,-0.34170194268226606,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
test,q5,25425,0.20885358480646646,291,0.01144542772861357,-0.3893302000939527,-0.38321902632713317,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q1,14722,0.20044385747545848,146,0.00991713082461622,-0.3781693481900484,-0.37885849535465277,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
fit,q2,14739,0.20067531689517612,102,0.006920415224913495,-0.3495548963546753,-0.36006390333175664,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
fit,q3,14831,0.20192792081364794,148,0.00997909783561459,-0.3357822000980377,-0.3357964873313904,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
fit,q4,14640,0.19932740615682057,146,0.009972677595628416,-0.3327662944793701,-0.33332458347082133,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
fit,q5,14515,0.1976254986588969,116,0.007991732690320358,-0.48204779624938965,-0.49721091687679264,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
safety,q1,4610,0.18165340058318227,35,0.007592190889370932,-0.3781693481900484,-0.3874868568778038,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
safety,q2,4774,0.18811569075577272,47,0.009844993715961458,-0.3495548963546753,-0.3529837191104895,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
safety,q3,5423,0.21368902198754827,50,0.009219988936013277,-0.3357822000980377,-0.3380986028909689,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
safety,q4,5580,0.21987548270155252,53,0.00949820788530466,-0.3327662944793701,-0.33821527808904644,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
safety,q5,4991,0.1966664039719442,49,0.009817671809256662,-0.48204779624938965,-0.48298514187335967,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
test,q1,23370,0.1919727935861208,248,0.010611895592640136,-0.3781693481900484,-0.37571059376001315,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
test,q2,23051,0.1893523690609187,307,0.013318294217170621,-0.3495548963546753,-0.34073078632354736,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
test,q3,24066,0.19769008345928896,342,0.014210919970082274,-0.3357822000980377,-0.32263153642416004,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
test,q4,24682,0.20275021357692055,441,0.017867271695972773,-0.3327662944793701,-0.30654181122779844,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
test,q5,26567,0.218234540316751,183,0.006888244814996048,-0.48204779624938965,-0.5072706925868988,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.01
fit,all,73447,1.0,3597,0.04897409016025161,-0.424654096364975,-0.35561149895191213,[],False,global_safe,0.05
safety,all,25378,1.0,1268,0.04996453621246749,-0.424654096364975,-0.35329012960195544,[],False,global_safe,0.05
test,all,121736,1.0,6414,0.05268778340014457,-0.424654096364975,-0.3399116531014443,[],False,global_safe,0.05
fit,low,36600,0.4983185153920514,1724,0.04710382513661202,-0.410920649766922,-0.34870307505130765,[0.54886115],False,fiqa_s_2bin,0.05
fit,high,36847,0.5016814846079486,1838,0.04988194425597742,-0.442974565542188,-0.3673445105552673,[0.54886115],False,fiqa_s_2bin,0.05
safety,low,12634,0.49783276853968006,631,0.04994459395282571,-0.410920649766922,-0.3463413119316101,[0.54886115],False,fiqa_s_2bin,0.05
safety,high,12744,0.5021672314603199,615,0.04825800376647834,-0.442974565542188,-0.36319839745759985,[0.54886115],False,fiqa_s_2bin,0.05
test,low,59869,0.4917937175527371,3199,0.05343332943593512,-0.410920649766922,-0.33229095458984376,[0.54886115],False,fiqa_s_2bin,0.05
test,high,61867,0.508206282447263,3169,0.05122278435999806,-0.442974565542188,-0.349882917404175,[0.54886115],False,fiqa_s_2bin,0.05
fit,low,36880,0.5021307881874004,1826,0.049511930585683296,-0.42112109065055847,-0.35889504909515385,[0.5589450499999999],False,fiqa_l_2bin,0.05
fit,high,36567,0.4978692118125996,1713,0.04684551644925753,-0.42820996046066284,-0.351945077776909,[0.5589450499999999],False,fiqa_l_2bin,0.05
safety,low,12160,0.4791551737725589,608,0.05,-0.42112109065055847,-0.36041500657796877,[0.5589450499999999],False,fiqa_l_2bin,0.05
safety,high,13218,0.5208448262274411,660,0.04993191103041307,-0.42820996046066284,-0.3478187423944474,[0.5589450499999999],False,fiqa_l_2bin,0.05
test,low,58258,0.4785601629756194,3180,0.05458477805623262,-0.42112109065055847,-0.34700674057006836,[0.5589450499999999],False,fiqa_l_2bin,0.05
test,high,63478,0.5214398370243807,3133,0.04935568228362582,-0.42820996046066284,-0.3314303037524224,[0.5589450499999999],False,fiqa_l_2bin,0.05
fit,q1,14509,0.19754380709899655,631,0.043490247432628026,-0.40589770674705505,-0.35014929294586183,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
fit,q2,14732,0.2005800100752924,736,0.04995927233233777,-0.4119649827480316,-0.34697255611419675,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
fit,q3,14684,0.1999264775960897,661,0.04501498229365296,-0.41540417075157166,-0.34859341412782663,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
fit,q4,14762,0.20098846787479407,737,0.04992548435171386,-0.43010452330757826,-0.3595893865823746,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
fit,q5,14760,0.2009612373548273,726,0.0491869918699187,-0.48778437317055173,-0.39042619645595555,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
safety,q1,4947,0.19493261880368823,247,0.04992925005053568,-0.40589770674705505,-0.33874194860458373,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
safety,q2,5142,0.20261643943573174,245,0.04764683002722676,-0.4119649827480316,-0.34676924645900725,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
safety,q3,5025,0.19800614705650563,251,0.0499502487562189,-0.41540417075157166,-0.353346779346466,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
safety,q4,5130,0.2021435889352983,252,0.04912280701754386,-0.43010452330757826,-0.35290522664785384,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
safety,q5,5134,0.2023012057687761,214,0.04168289832489287,-0.48778437317055173,-0.40054924607276915,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
test,q1,23625,0.1940674903068936,1143,0.04838095238095238,-0.40589770674705505,-0.33523885846138024,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
test,q2,24395,0.2003926529539331,1363,0.05587210493953679,-0.4119649827480316,-0.3286899912357325,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
test,q3,23810,0.19558717224157193,1263,0.05304493910121798,-0.41540417075157166,-0.33099957376718525,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
test,q4,24481,0.2010990996911349,1308,0.05342918998406928,-0.43010452330757826,-0.34170194268226606,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
