reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
fiqa_l_2bin,fiqa_l_5bin,0.05,tpir_at_rank_k,420,447,317,60423,0.0004468497095476888,-0.0004778226559542113,0.0013603132791665954,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.1,fpir,11654,11464,10182,121736,-0.001560754419399356,-0.002415472826444108,-0.0007146612341460209,query,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.1,tpir_at_rank_k,772,756,665,60423,-0.0002647998278801119,-0.0008919625172725731,0.0003115088597263063,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_2bin,0.1,fpir,11611,11464,10167,121736,-0.0012075310507984492,-0.002012757113754353,-0.00036965236248932116,query,2000,8972,False,none
global_safe,fiqa_s_2bin,0.1,tpir_at_rank_k,770,756,665,60423,-0.00023169984939509788,-0.0008573262924611285,0.00033991272269111463,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.1,fpir,11654,11406,10688,121736,-0.00203719524216337,-0.0027189984885325623,-0.0013636064927383847,query,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.1,tpir_at_rank_k,772,788,720,60423,0.0002647998278801119,-0.0001459036963556601,0.0006708113238798229,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_2bin,0.1,fpir,11611,11406,10671,121736,-0.001683971873562463,-0.0023657751199316554,-0.0010348212525464952,query,2000,8972,False,none
global_safe,fiqa_l_2bin,0.1,tpir_at_rank_k,770,788,719,60423,0.00029789980636512584,-0.00012063555977451968,0.0007073114752674076,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.1,fpir,11654,11469,10032,121736,-0.0015196819346783204,-0.0024397055924295194,-0.0006407307616481567,query,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.1,tpir_at_rank_k,772,768,655,60423,-6.619995697002797e-05,-0.000909820114455012,0.000787151546761254,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_5bin,0.1,fpir,11611,11469,10019,121736,-0.0011664585660774135,-0.0020866875862522176,-0.00028730203062364573,query,2000,8972,False,none
global_safe,fiqa_s_5bin,0.1,tpir_at_rank_k,770,768,655,60423,-3.3099978485013984e-05,-0.0008756763497872235,0.000823958858737476,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.1,fpir,11654,11959,9386,121736,0.002505421567983177,0.0013631957678911751,0.003655451140172176,query,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.1,tpir_at_rank_k,772,824,613,60423,0.0008605994406103636,-0.0006040670332967618,0.0022259610397173213,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_5bin,0.1,fpir,11611,11959,9378,121736,0.0028586449365840838,0.00174968784911612,0.0040255142275087055,query,2000,8972,False,none
global_safe,fiqa_l_5bin,0.1,tpir_at_rank_k,770,824,613,60423,0.0008936994190953776,-0.0005611034261883499,0.0022593276562704163,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.1,fpir,11464,11406,10134,121736,-0.00047644082276401394,-0.001314319511073142,0.0003367943747124926,query,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.1,tpir_at_rank_k,756,788,667,60423,0.0005295996557602237,-0.00014963940811697223,0.0012886718294449467,mated_identity_cluster,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.1,fpir,11469,11959,9066,121736,0.004025103502661497,0.0028337960833278576,0.005232634553459946,query,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.1,tpir_at_rank_k,768,824,602,60423,0.0009267993975803915,-0.0002631943962016316,0.00205411969864928,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.1,fpir,11464,11469,10343,121736,4.1072484721035685e-05,-0.0007477245843464542,0.000780377209699678,query,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.1,tpir_at_rank_k,756,768,677,60423,0.00019859987091008392,-0.00040158197745728805,0.0008755324053783295,mated_identity_cluster,2000,8972,False,none
fiqa_l_2bin,fiqa_l_5bin,0.1,fpir,11406,11959,9107,121736,0.004542616810146546,0.003376158244069133,0.005741933364000789,query,2000,8972,False,none
fiqa_l_2bin,fiqa_l_5bin,0.1,tpir_at_rank_k,788,824,605,60423,0.0005957996127302517,-0.0008003492224400444,0.001980713289253419,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.2,fpir,22069,22075,19476,121736,4.928698166524282e-05,-0.0011009479529473611,0.0012241654071104674,query,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.2,tpir_at_rank_k,1471,1442,1285,60423,-0.0004799496880327028,-0.001488994014919178,0.00047069947910664405,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_2bin,0.2,fpir,21900,22075,19399,121736,0.001437536965236249,0.0002957218899914569,0.002637058881514095,query,2000,8972,False,none
global_safe,fiqa_s_2bin,0.2,tpir_at_rank_k,1463,1442,1284,60423,-0.00034754977409264686,-0.0013291696014474726,0.0005805645215558374,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.2,fpir,22069,21926,19275,121736,-0.0011746730630216205,-0.002341131629099034,7.393047249786423e-05,query,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.2,tpir_at_rank_k,1471,1524,1311,60423,0.0008771494298528706,-5.0256238005848795e-05,0.0017748389647545986,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_2bin,0.2,fpir,21900,21926,19223,121736,0.00021357692054938557,-0.0009366580140632184,0.0014459568246040601,query,2000,8972,False,none
global_safe,fiqa_l_2bin,0.2,tpir_at_rank_k,1463,1524,1307,60423,0.0010095493437929266,6.802815071040701e-05,0.001923715880106363,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.2,fpir,22069,22053,19214,121736,-0.00013143195110731419,-0.001322534008017349,0.0011500295721889992,query,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.2,tpir_at_rank_k,1471,1490,1276,60423,0.00031444979560763285,-0.001019683751579309,0.0017044639453600993,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_5bin,0.2,fpir,21900,22053,19156,121736,0.001256818032463692,4.928698166524282e-05,0.0024727689426299526,query,2000,8972,False,none
