method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
fiqa_l_5bin,0.1,conditional-threshold-a3b831eb2fd4751ece5aa124,q3,14831,5423,-0.4851887822151184,0.9866941653915242,-0.4851887822151184,-0.48951154947280884,-0.4851887822151184,False,0.09999325736632729,0.09293748847501383,True,True
fiqa_l_5bin,0.1,conditional-threshold-a3b831eb2fd4751ece5aa124,q4,14640,5580,-0.51829993724823,0.9865229110512129,-0.5182625333253906,-0.5154722332954407,-0.5154722332954407,False,0.09610655737704918,0.1,True,True
fiqa_l_5bin,0.1,conditional-threshold-a3b831eb2fd4751ece5aa124,q5,14515,4991,-0.7265287041664124,0.9864084267753993,-0.7236608259741887,-0.7148230075836182,-0.7148230075836182,False,0.09011367550809507,0.09997996393508315,True,True
global_empirical,0.2,conditional-threshold-23d8a5ef746a4a43168cef2c,all,98825,0,-0.5816303491592407,1.0,-0.5816303491592407,,-0.5816303491592407,False,0.2,,True,
global_safe,0.2,conditional-threshold-cdd19a1026dfc0d9dc09179f,all,73447,25378,-0.5817911028862,1.0,-0.5817911028862,-0.5810174942016602,-0.5810174942016602,False,0.19860579737770093,0.19997635747497833,True,True
fiqa_s_2bin,0.2,conditional-threshold-1ab53425923470ecabcdf28f,low,36600,12634,-0.5534966588020325,0.9945652173913043,-0.5534966588020325,-0.5542214512825012,-0.5534966588020325,False,0.2,0.19819534589203736,True,True
fiqa_s_2bin,0.2,conditional-threshold-1ab53425923470ecabcdf28f,high,36847,12744,-0.621148943901062,0.9946014522093557,-0.6209364687154068,-0.6176863312721252,-0.6176863312721252,False,0.19496838277200315,0.19993722536095418,True,True
fiqa_l_2bin,0.2,conditional-threshold-b491b9593fa208984657ccc3,low,36880,12160,-0.5541440844535828,0.9946062567421791,-0.5541440844535828,-0.5532550811767578,-0.5532550811767578,False,0.19818329718004338,0.2,True,True
fiqa_l_2bin,0.2,conditional-threshold-b491b9593fa208984657ccc3,high,36567,13218,-0.6292845010757446,0.9945603394348193,-0.6290261531105066,-0.6192094087600708,-0.6192094087600708,False,0.18642491864249186,0.1999546073536087,True,True
fiqa_s_5bin,0.2,conditional-threshold-3c4a41c21a116fc4259be1b7,q1,14509,4947,-0.5461530685424805,0.9864028825888912,-0.5461530685424805,-0.5505970120429993,-0.5461530685424805,False,0.19994486180991108,0.18981200727713765,True,True
fiqa_s_5bin,0.2,conditional-threshold-3c4a41c21a116fc4259be1b7,q2,14732,5142,-0.5538161993026733,0.98660594695955,-0.5538161993026733,-0.5547385811805725,-0.5538161993026733,False,0.1999728482215585,0.19817191754181251,True,True
fiqa_s_5bin,0.2,conditional-threshold-3c4a41c21a116fc4259be1b7,q3,14684,5025,-0.5746104121208191,0.9865627519484009,-0.5746104121208191,-0.5679785013198853,-0.5679785013198853,False,0.18761917733587577,0.2,True,True
fiqa_s_5bin,0.2,conditional-threshold-3c4a41c21a116fc4259be1b7,q4,14762,5130,-0.5950080752372742,0.9866328031011897,-0.5948314013654513,-0.5939242243766785,-0.5939242243766785,False,0.19780517545048096,0.2,True,True
fiqa_s_5bin,0.2,conditional-threshold-3c4a41c21a116fc4259be1b7,q5,14760,5134,-0.6945464611053467,0.9866310160427807,-0.6930390365302244,-0.6867566704750061,-0.6867566704750061,False,0.18875338753387533,0.19984417608102845,True,True
fiqa_l_5bin,0.2,conditional-threshold-1b62a26d214804f6743b2e5f,q1,14722,4610,-0.5659878849983215,0.9865969709154269,-0.5659878849983215,-0.5714771747589111,-0.5659878849983215,False,0.1999728297785627,0.18958785249457702,True,True
fiqa_l_5bin,0.2,conditional-threshold-1b62a26d214804f6743b2e5f,q2,14739,4774,-0.5475024580955505,0.9866122230403641,-0.5475024580955505,-0.5414267778396606,-0.5414267778396606,False,0.18630843340796527,0.19983242563887726,True,True
