dataset_id,model,compression_profile,method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max
lfw,adaface,pq_512_m32_b8,plus_both,0.01,20,0,0.0136255924170616,0.0272511848341232,0.0355450236966824,0.9831932773109244,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m32_b8,plus_both,0.05,20,0,0.087085308056872,0.12114928909952605,0.1368483412322275,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,plus_both,0.1,20,0,0.1937203791469194,0.23755924170616116,0.2565165876777251,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,plus_both,0.2,20,0,0.3595971563981042,0.44016587677725116,0.4579383886255924,0.9852941176470588,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,plus_both,0.3,20,0,0.5290284360189573,0.5953791469194313,0.6095971563981043,0.9852941176470588,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,plus_entropy,0.01,20,0,0.0136255924170616,0.02577014218009475,0.0355450236966824,0.9831932773109244,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m32_b8,plus_entropy,0.05,20,0,0.0930094786729857,0.11789099526066345,0.1309241706161137,0.9831932773109244,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,plus_entropy,0.1,20,0,0.1966824644549763,0.2360781990521327,0.254739336492891,0.9831932773109244,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,plus_entropy,0.2,20,0,0.3649289099526066,0.43986966824644547,0.4609004739336493,0.9852941176470588,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,plus_entropy,0.3,20,0,0.5308056872037915,0.5953791469194313,0.6095971563981043,0.9852941176470588,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,plus_outside,0.01,20,0,0.0124407582938388,0.02991706161137435,0.0379146919431279,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m32_b8,plus_outside,0.05,20,0,0.091824644549763,0.12263033175355445,0.139218009478673,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,plus_outside,0.1,20,0,0.188388625592417,0.2316350710900473,0.2434834123222748,0.9831932773109244,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,plus_outside,0.2,20,0,0.3601895734597156,0.4324644549763033,0.4514218009478673,0.9852941176470588,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,plus_outside,0.3,20,0,0.5248815165876777,0.5879739336492891,0.6066350710900474,0.9852941176470588,0.986344537815126,0.9873949579831932
lfw,adaface,pq_512_m64_b8,continuous_fiqa,0.01,20,6,0.0077014218009478,0.0145142180094786,0.0195497630331753,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,continuous_fiqa,0.05,20,4,0.0390995260663507,0.06960900473933646,0.0758293838862559,0.98109243697479,0.98109243697479,0.9831932773109244
lfw,adaface,pq_512_m64_b8,continuous_fiqa,0.1,20,1,0.0900473933649289,0.15047393364928907,0.1635071090047393,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m64_b8,continuous_fiqa,0.2,20,0,0.2381516587677725,0.31309241706161134,0.3364928909952606,0.98109243697479,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,continuous_fiqa,0.3,20,0,0.3785545023696682,0.4688981042654028,0.4822274881516588,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,fiqa_2bin,0.01,20,6,0.0077014218009478,0.0112559241706161,0.0148104265402843,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,fiqa_2bin,0.05,20,4,0.0456161137440758,0.063388625592417,0.0693127962085308,0.98109243697479,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,fiqa_2bin,0.1,20,1,0.0971563981042654,0.14543838862559239,0.1563981042654028,0.98109243697479,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,fiqa_2bin,0.2,20,0,0.2126777251184834,0.3169431279620853,0.3376777251184834,0.98109243697479,0.9831932773109244,0.9852941176470588
lfw,adaface,pq_512_m64_b8,fiqa_2bin,0.3,20,0,0.3821090047393365,0.46593601895734593,0.4798578199052132,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,fiqa_5bin,0.01,20,11,0.0053317535545023,0.0094786729857819,0.0124407582938388,0.9789915966386554,0.9789915966386554,0.98109243697479
lfw,adaface,pq_512_m64_b8,fiqa_5bin,0.05,20,2,0.0479857819905213,0.05805687203791465,0.0704976303317535,0.98109243697479,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,fiqa_5bin,0.1,20,0,0.1072274881516587,0.1359597156398104,0.1427725118483412,0.98109243697479,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,fiqa_5bin,0.2,20,0,0.2286729857819905,0.3059834123222749,0.3252369668246445,0.98109243697479,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,fiqa_5bin,0.3,20,0,0.3726303317535545,0.4585308056872037,0.4721563981042654,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,global_safe,0.01,20,8,0.0082938388625592,0.0100710900473933,0.0124407582938388,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,global_safe,0.05,20,4,0.044431279620853,0.0616113744075829,0.068127962085308,0.98109243697479,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,global_safe,0.1,20,1,0.0989336492890995,0.1498815165876777,0.1635071090047393,0.98109243697479,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,global_safe,0.2,20,0,0.2257109004739336,0.30776066350710896,0.3317535545023696,0.98109243697479,0.98109243697479,0.9831932773109244
lfw,adaface,pq_512_m64_b8,global_safe,0.3,20,0,0.3732227488151659,0.46534360189573454,0.4893364928909952,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,plus_both,0.01,20,5,0.0059241706161137,0.0145142180094786,0.0225118483412322,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,plus_both,0.05,20,4,0.0408767772511848,0.06931279620853076,0.0781990521327014,0.98109243697479,0.98109243697479,0.9831932773109244
lfw,adaface,pq_512_m64_b8,plus_both,0.1,20,1,0.0930094786729857,0.1558056872037914,0.1658767772511848,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m64_b8,plus_both,0.2,20,0,0.2417061611374407,0.3302725118483413,0.3441943127962085,0.98109243697479,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,plus_both,0.3,20,0,0.3832938388625592,0.47422985781990523,0.4946682464454976,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,plus_entropy,0.01,20,5,0.0053317535545023,0.0145142180094786,0.0189573459715639,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,plus_entropy,0.05,20,4,0.0408767772511848,0.06960900473933646,0.0770142180094786,0.98109243697479,0.98109243697479,0.9831932773109244
lfw,adaface,pq_512_m64_b8,plus_entropy,0.1,20,1,0.0936018957345971,0.16084123222748814,0.1700236966824644,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m64_b8,plus_entropy,0.2,20,0,0.2417061611374407,0.3353080568720379,0.3566350710900474,0.98109243697479,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,plus_entropy,0.3,20,0,0.384478672985782,0.4760071090047393,0.4922985781990521,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m64_b8,plus_outside,0.01,20,6,0.0077014218009478,0.01392180094786725,0.0195497630331753,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m64_b8,plus_outside,0.05,20,4,0.0385071090047393,0.0687203791469194,0.0752369668246445,0.98109243697479,0.98109243697479,0.9831932773109244
lfw,adaface,pq_512_m64_b8,plus_outside,0.1,20,1,0.0900473933649289,0.149585308056872,0.1593601895734597,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m64_b8,plus_outside,0.2,20,0,0.2369668246445497,0.31220379146919425,0.3388625592417061,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m64_b8,plus_outside,0.3,20,0,0.3785545023696682,0.466824644549763,0.4822274881516588,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,arcface,pq_512_m128_b8,continuous_fiqa,0.01,20,0,0.0136255924170616,0.0219194312796208,0.0225118483412322,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,continuous_fiqa,0.05,20,0,0.0622037914691943,0.0773104265402843,0.0829383886255924,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,arcface,pq_512_m128_b8,continuous_fiqa,0.1,20,0,0.1167061611374407,0.1406990521327014,0.1481042654028436,0.9789915966386554,0.98109243697479,0.9831932773109244
lfw,arcface,pq_512_m128_b8,continuous_fiqa,0.2,20,0,0.2049763033175355,0.2600710900473933,0.273696682464455,0.98109243697479,0.9852941176470588,0.9852941176470588
lfw,arcface,pq_512_m128_b8,continuous_fiqa,0.3,20,0,0.3181279620853081,0.3969194312796208,0.4182464454976303,0.98109243697479,0.9852941176470588,0.9873949579831932
lfw,arcface,pq_512_m128_b8,fiqa_2bin,0.01,20,0,0.0112559241706161,0.0174763033175355,0.0225118483412322,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,fiqa_2bin,0.05,20,0,0.0568720379146919,0.0687203791469194,0.0787914691943127,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,fiqa_2bin,0.1,20,0,0.1125592417061611,0.1404028436018957,0.1427725118483412,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,fiqa_2bin,0.2,20,1,0.1966824644549763,0.26421800947867297,0.2725118483412322,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,arcface,pq_512_m128_b8,fiqa_2bin,0.3,20,0,0.3204976303317535,0.39306872037914686,0.4087677725118483,0.98109243697479,0.9831932773109244,0.9852941176470588
lfw,arcface,pq_512_m128_b8,fiqa_5bin,0.01,20,7,0.0053317535545023,0.011848341232227451,0.0189573459715639,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,fiqa_5bin,0.05,20,0,0.0574644549763033,0.0666469194312796,0.0734597156398104,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,fiqa_5bin,0.1,20,0,0.1125592417061611,0.125,0.1386255924170616,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,fiqa_5bin,0.2,20,0,0.2020142180094786,0.24763033175355445,0.2636255924170616,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,arcface,pq_512_m128_b8,fiqa_5bin,0.3,20,0,0.3104265402843602,0.37973933649289093,0.4069905213270142,0.98109243697479,0.9842436974789917,0.9852941176470588
lfw,arcface,pq_512_m128_b8,global_safe,0.01,20,0,0.0148104265402843,0.0219194312796208,0.0219194312796208,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,global_safe,0.05,20,0,0.0622037914691943,0.0740521327014218,0.0770142180094786,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,global_safe,0.1,20,0,0.1149289099526066,0.1415876777251185,0.1433649289099526,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,global_safe,0.2,20,1,0.1984597156398104,0.2588862559241706,0.2855450236966824,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,arcface,pq_512_m128_b8,global_safe,0.3,20,0,0.3210900473933649,0.3918838862559242,0.4123222748815165,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,arcface,pq_512_m128_b8,plus_both,0.01,20,0,0.0148104265402843,0.020142180094786702,0.0278436018957345,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,plus_both,0.05,20,0,0.0639810426540284,0.0936018957345971,0.1048578199052132,0.9789915966386554,0.9789915966386554,0.98109243697479
lfw,arcface,pq_512_m128_b8,plus_both,0.1,20,0,0.1167061611374407,0.15728672985781983,0.1718009478672985,0.9789915966386554,0.9831932773109244,0.9831932773109244
lfw,arcface,pq_512_m128_b8,plus_both,0.2,20,0,0.2061611374407582,0.279324644549763,0.3003554502369668,0.98109243697479,0.9831932773109244,0.9873949579831932
lfw,arcface,pq_512_m128_b8,plus_both,0.3,20,0,0.3175355450236967,0.3957345971563981,0.424170616113744,0.98109243697479,0.9873949579831932,0.9873949579831932
lfw,arcface,pq_512_m128_b8,plus_entropy,0.01,20,0,0.0148104265402843,0.0222156398104265,0.0313981042654028,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,plus_entropy,0.05,20,0,0.0657582938388625,0.0909360189573459,0.1090047393364928,0.9789915966386554,0.98109243697479,0.9831932773109244
lfw,arcface,pq_512_m128_b8,plus_entropy,0.1,20,0,0.1232227488151658,0.1605450236966824,0.1753554502369668,0.9789915966386554,0.98109243697479,0.9852941176470588
lfw,arcface,pq_512_m128_b8,plus_entropy,0.2,20,0,0.2049763033175355,0.2867298578199052,0.3092417061611374,0.98109243697479,0.986344537815126,0.9873949579831932
lfw,arcface,pq_512_m128_b8,plus_entropy,0.3,20,0,0.3216824644549763,0.4069905213270142,0.4277251184834123,0.98109243697479,0.986344537815126,0.9873949579831932
lfw,arcface,pq_512_m128_b8,plus_outside,0.01,20,0,0.0136255924170616,0.0192535545023696,0.0242890995260663,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m128_b8,plus_outside,0.05,20,0,0.0580568720379146,0.0737559241706161,0.0787914691943127,0.9789915966386554,0.9789915966386554,0.98109243697479
lfw,arcface,pq_512_m128_b8,plus_outside,0.1,20,0,0.1113744075829383,0.1350710900473933,0.1421800947867298,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,arcface,pq_512_m128_b8,plus_outside,0.2,20,0,0.2014218009478673,0.26007109004739337,0.2754739336492891,0.98109243697479,0.9831932773109244,0.9852941176470588
lfw,arcface,pq_512_m128_b8,plus_outside,0.3,20,0,0.3187203791469194,0.3835900473933649,0.4176540284360189,0.98109243697479,0.9852941176470588,0.9873949579831932
lfw,arcface,pq_512_m32_b8,continuous_fiqa,0.01,20,1,0.0088862559241706,0.0177725118483412,0.0213270142180094,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m32_b8,continuous_fiqa,0.05,20,1,0.0497630331753554,0.07612559241706154,0.0835308056872038,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,arcface,pq_512_m32_b8,continuous_fiqa,0.1,20,0,0.1018957345971564,0.14543838862559239,0.1558056872037914,0.9789915966386554,0.98109243697479,0.9831932773109244
lfw,arcface,pq_512_m32_b8,continuous_fiqa,0.2,20,0,0.2103080568720379,0.26451421800947866,0.2843601895734597,0.9789915966386554,0.98109243697479,0.9831932773109244
