regime,seed,target_fpir,method,reference_split,test_minus_reference,mixture_component,within_group_component
full_calibration,3,0.01,fiqa_s,safety,0.0061259279848314765,-2.8184157114120315e-06,0.006128746400542889
full_calibration,3,0.01,fiqa_l,safety,0.006337150965891817,1.3214169323933563e-05,0.006323936796567883
full_calibration,3,0.05,global_empirical,safety,0.007242000678573085,0.0,0.007242000678573085
full_calibration,3,0.05,global_safe,safety,0.007019008000067516,0.0,0.007019008000067516
full_calibration,3,0.05,fiqa_s,safety,0.006912227636881964,-9.84436649592021e-06,0.00692207200337789
full_calibration,3,0.05,fiqa_l,safety,0.0067268008251313224,1.5371062582980816e-06,0.006725263718873029
full_calibration,3,0.1,global_empirical,safety,0.0005757944201070925,0.0,0.0005757944201070925
full_calibration,3,0.1,global_safe,safety,0.000934829763628256,0.0,0.000934829763628256
full_calibration,3,0.1,fiqa_s,safety,0.0016612040155954133,-5.502077804922799e-06,0.00166670609340035
full_calibration,3,0.1,fiqa_l,safety,0.0004595416193413082,-3.601079379004731e-05,0.0004955524131313557
full_calibration,4,0.01,global_empirical,safety,0.0057550325745859745,0.0,0.0057550325745859745
full_calibration,4,0.01,global_safe,safety,0.00538414798229808,0.0,0.00538414798229808
full_calibration,4,0.01,fiqa_s,safety,0.005063919638689268,-2.4284591160111504e-06,0.005066348097805281
full_calibration,4,0.01,fiqa_l,safety,0.0056231442011407135,-2.687476489607797e-06,0.005625831677630321
full_calibration,4,0.05,global_empirical,safety,0.008583016539392835,0.0,0.008583016539392835
full_calibration,4,0.05,global_safe,safety,0.008622582719884767,0.0,0.008622582719884767
full_calibration,4,0.05,fiqa_s,safety,0.008720380875754621,5.870777931648403e-06,0.00871451009782298
full_calibration,4,0.05,fiqa_l,safety,0.008121954828626071,-3.869147874930291e-06,0.008125823976501004
full_calibration,4,0.1,global_empirical,safety,0.007039429346622203,0.0,0.007039429346622203
full_calibration,4,0.1,global_safe,safety,0.00676410610920658,0.0,0.00676410610920658
full_calibration,4,0.1,fiqa_s,safety,0.006479200212971756,4.66163353494139e-05,0.006432583877622342
full_calibration,4,0.1,fiqa_l,safety,0.006130038229581386,-5.0399282304900746e-06,0.00613507815781187
full_calibration,5,0.01,global_empirical,safety,0.0056729423416288,0.0,0.0056729423416288
full_calibration,5,0.01,global_safe,safety,0.005408317268472469,0.0,0.005408317268472469
full_calibration,5,0.01,fiqa_s,safety,0.0056784473448165396,-6.845622543562131e-06,0.0056852929673601015
full_calibration,5,0.01,fiqa_l,safety,0.00545801067420118,-1.0500679697585661e-05,0.005468511353898767
full_calibration,5,0.05,global_empirical,safety,0.005667428736873578,0.0,0.005667428736873578
full_calibration,5,0.05,global_safe,safety,0.006310006685138245,0.0,0.006310006685138245
full_calibration,5,0.05,fiqa_s,safety,0.0066532543858532425,-2.4477179165642842e-05,0.00667773156501889
full_calibration,5,0.05,fiqa_l,safety,0.005900094686054819,-5.298475315169808e-05,0.005953079439206522
full_calibration,5,0.1,global_empirical,safety,-0.0003415510415294004,0.0,-0.0003415510415294004
full_calibration,5,0.1,global_safe,safety,0.00043837028509380316,0.0,0.00043837028509380316
full_calibration,5,0.1,fiqa_s,safety,-0.0002314251730721334,-2.6265689115951727e-05,-0.00020515948395618172
full_calibration,5,0.1,fiqa_l,safety,-0.0027221294590955986,-5.1298273558206004e-05,-0.002670831185537388
full_calibration,6,0.01,global_empirical,safety,0.0009298843492192427,0.0,0.0009298843492192427
full_calibration,6,0.01,global_safe,safety,0.0012670895174275894,0.0,0.0012670895174275894
full_calibration,6,0.01,fiqa_s,safety,0.001021224667455252,2.880620373082955e-08,0.001021195861251521
full_calibration,6,0.01,fiqa_l,safety,0.001735885901601274,-1.0392053648119765e-06,0.0017369251069660856
full_calibration,6,0.05,global_empirical,safety,-0.0069224036678543,0.0,-0.0069224036678543
full_calibration,6,0.05,global_safe,safety,-0.004606262342545957,0.0,-0.004606262342545957
full_calibration,6,0.05,fiqa_s,safety,-0.0037437401634042022,-3.733083030002266e-07,-0.0037433668551012057
full_calibration,6,0.05,fiqa_l,safety,-0.004613906781136275,5.613072894808044e-08,-0.004613962911865228
full_calibration,6,0.1,global_empirical,safety,-0.015650502319714626,0.0,-0.015650502319714626
full_calibration,6,0.1,global_safe,safety,-0.014289653854965792,0.0,-0.014289653854965792
full_calibration,6,0.1,fiqa_s,safety,-0.013468204160545089,-2.4887220200029564e-07,-0.013467955288343079
full_calibration,6,0.1,fiqa_l,safety,-0.014831240594929573,1.2284061397379795e-07,-0.014831363435543556
full_calibration,7,0.01,global_empirical,safety,0.004758808041313423,0.0,0.004758808041313423
full_calibration,7,0.01,global_safe,safety,0.00462570256340715,0.0,0.00462570256340715
full_calibration,7,0.01,fiqa_s,safety,0.00428213751297353,8.366272548369758e-06,0.004273771240425158
full_calibration,7,0.01,fiqa_l,safety,0.004530245948098701,-2.4403800130739866e-05,0.00455464974822944
full_calibration,7,0.05,global_empirical,safety,0.004482742300807453,0.0,0.004482742300807453
full_calibration,7,0.05,global_safe,safety,0.004832388910234561,0.0,0.004832388910234561
full_calibration,7,0.05,fiqa_s,safety,0.005728983192800331,1.8826481381403162e-05,0.005710156711418928
full_calibration,7,0.05,fiqa_l,safety,0.004050567879311802,2.580948801409128e-05,0.004024758391297714
full_calibration,7,0.1,global_empirical,safety,-0.004163480040946618,0.0,-0.004163480040946618
full_calibration,7,0.1,global_safe,safety,-0.004099437592191918,0.0,-0.004099437592191918
full_calibration,7,0.1,fiqa_s,safety,-0.002938459017663153,-6.320193046851271e-06,-0.002932138824616292
full_calibration,7,0.1,fiqa_l,safety,-0.0046031142548910164,0.00013977204476360843,-0.004742886299654638
full_calibration,8,0.01,global_empirical,safety,0.0033498787750964616,0.0,0.0033498787750964616
full_calibration,8,0.01,global_safe,safety,0.0032640263233855785,0.0,0.0032640263233855785
full_calibration,8,0.01,fiqa_s,safety,0.0034808621267451278,-4.408940363930403e-06,0.003485271067109058
full_calibration,8,0.01,fiqa_l,safety,0.0033461712928276495,1.5938284038039246e-07,0.003346011909987269
full_calibration,8,0.05,global_empirical,safety,-0.0038657794316133073,0.0,-0.0038657794316133073
full_calibration,8,0.05,global_safe,safety,-0.0023891886792199446,0.0,-0.0023891886792199446
full_calibration,8,0.05,fiqa_s,safety,-0.0007725846525891422,-3.525195031352929e-07,-0.0007722321330860113
full_calibration,8,0.05,fiqa_l,safety,-0.0024072695444863623,-4.4963974772248456e-07,-0.002406819904738644
full_calibration,8,0.1,global_empirical,safety,-0.015580469806780156,0.0,-0.015580469806780156
full_calibration,8,0.1,global_safe,safety,-0.01309966276292171,0.0,-0.01309966276292171
full_calibration,8,0.1,fiqa_s,safety,-0.010692815158269003,-5.50053817353121e-07,-0.010692265104451657
full_calibration,8,0.1,fiqa_l,safety,-0.013405251021235395,3.6395678587510666e-07,-0.013405614978021261
full_calibration,9,0.01,global_empirical,safety,0.004207376979719041,0.0,0.004207376979719041
full_calibration,9,0.01,global_safe,safety,0.00396605494801381,0.0,0.00396605494801381
full_calibration,9,0.01,fiqa_s,safety,0.0036604560144555473,1.6688641290395895e-06,0.0036587871503265075
full_calibration,9,0.01,fiqa_l,safety,0.003949625954125395,1.4836892833215134e-08,0.0039496111172325635
full_calibration,9,0.05,global_empirical,safety,0.0028645586390488517,0.0,0.0028645586390488517
full_calibration,9,0.05,global_safe,safety,0.002908187562080375,0.0,0.002908187562080375
full_calibration,9,0.05,fiqa_s,safety,0.0037724975245979064,8.132501980792216e-06,0.0037643650226171174
full_calibration,9,0.05,fiqa_l,safety,0.0025843988518423136,-7.12113381633879e-06,0.002591519985658656
full_calibration,9,0.1,global_empirical,safety,-0.0015477826492755614,0.0,-0.0015477826492755614
full_calibration,9,0.1,global_safe,safety,-0.0012073144716426981,0.0,-0.0012073144716426981
full_calibration,9,0.1,fiqa_s,safety,-0.0006457252952822012,2.5962750721247407e-05,-0.0006716880460034395
full_calibration,9,0.1,fiqa_l,safety,-0.0019171845382584818,-2.274325376924735e-05,-0.0018944412844892496
full_calibration,10,0.01,global_empirical,safety,0.006603292384013434,0.0,0.006603292384013434
full_calibration,10,0.01,global_safe,safety,0.0062569143829541655,0.0,0.0062569143829541655
