method,model_uid,target_fpir,score_space,rank_k,quality_group,quality_cutpoints,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-6fbe8ef0336896d73cbaf6f1,0.1,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.4592474699020386,0.9946062567421791,-0.4592474699020386,-0.461794912815094,-0.4592474699020386,False,0.1,0.09662828947368421,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-6fbe8ef0336896d73cbaf6f1,0.1,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.48803916573524475,0.9945603394348193,-0.48793975387061295,-0.48511436581611633,-0.48511436581611633,False,0.0969453332239451,0.09993947647147829,True,True
global_empirical,conditional-threshold-a4259eeadefd109b6e56b7da,0.2,negative_squared_l2_adc,20,all,[],all,98825,0,-0.532887876033783,1.0,-0.532887876033783,,-0.532887876033783,False,0.2,,True,
global_safe,conditional-threshold-15b7e5d7417a555785cdae24,0.2,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.5320034623146057,1.0,-0.5320034623146057,-0.5358492732048035,-0.5320034623146057,False,0.19999455389600665,0.19355347151075736,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-7118c0cb70b280811c134ec1,0.2,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.5095375180244446,0.9946062567421791,-0.5095375180244446,-0.5169355273246765,-0.5095375180244446,False,0.2,0.18585526315789475,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-7118c0cb70b280811c134ec1,0.2,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.5702028870582581,0.9945603394348193,-0.5699950951538674,-0.5688672065734863,-0.5688672065734863,False,0.1982115021740914,0.1999546073536087,True,True
global_empirical,conditional-threshold-553cb1ff64339416ae34ca10,0.3,negative_squared_l2_adc,20,all,[],all,98825,0,-0.5841863751411438,1.0,-0.5841863751411438,,-0.5841863751411438,False,0.2999949405514799,,True,
global_safe,conditional-threshold-fa7b256f116b8201aa769539,0.3,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.5824652314186096,1.0,-0.5824652314186096,-0.5889704823493958,-0.5824652314186096,False,0.29999863847400166,0.2879659547639688,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-ac33bed14ca098b79c4734a0,0.3,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.5510275363922119,0.9946062567421791,-0.5510275363922119,-0.5588579177856445,-0.5510275363922119,False,0.3,0.27935855263157894,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-ac33bed14ca098b79c4734a0,0.3,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.6369109153747559,0.9945603394348193,-0.6366147493347952,-0.6364080905914307,-0.6364080905914307,False,0.2991768534470971,0.29996973823573914,True,True
