compression_profile,search_mode,threshold_policy,target_fpir,reference_profile,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m64_b8,121736,1734,1457,1233,119778,224,501,-0.002275415653545377,-0.002702569494644148,-0.0018482618124466058
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.05,pq_512_m64_b8,121736,1931,2216,1648,119237,568,283,0.002341131629099034,0.00186469080633502,0.0028340014457514623
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.05,pq_512_m64_b8,121736,6250,6014,5257,114729,757,993,-0.0019386212788328843,-0.002628639022146284,-0.0012730416639285022
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.1,pq_512_m64_b8,121736,4321,4441,3692,116666,749,629,0.0009857396333048565,0.0003860813563777354,0.0016100414010645988
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.1,pq_512_m64_b8,121736,11470,10984,9896,109178,1088,1574,-0.003992245514884668,-0.004854767694026418,-0.0031707958204639547
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.2,pq_512_m64_b8,121736,10460,9814,8874,110336,940,1586,-0.005306565025957811,-0.0060951567326016955,-0.004509758822369718
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.2,pq_512_m64_b8,121736,21840,21289,19494,98101,1795,2346,-0.004526187816258132,-0.005528561805875008,-0.003482741341920222
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.3,pq_512_m64_b8,121736,18414,16735,15672,102259,1063,2742,-0.013792140369323783,-0.014802523493461261,-0.012814615232963133
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.3,pq_512_m64_b8,121736,32667,32139,29890,86820,2249,2777,-0.004337254386541368,-0.005421567983176711,-0.0031461523296313332
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.01,pq_512_m32_b8,121736,640,994,624,120726,370,16,0.0029079319182493263,0.002587566537425248,0.0032200828021291977
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m32_b8,121736,1457,1267,1153,120165,114,304,-0.001560754419399356,-0.0018975487941118485,-0.0012321745416310704
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.05,pq_512_m32_b8,121736,2216,3188,2137,118469,1051,79,0.007984491029769336,0.007417690740619045,0.008518638693566406
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.05,pq_512_m32_b8,121736,6014,5530,5025,115217,505,989,-0.003975816520996254,-0.004600118288755997,-0.003375747519221925
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.1,pq_512_m32_b8,121736,4441,5982,4297,115610,1685,144,0.012658539791023198,0.011976736544654006,0.01334034303739239
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.1,pq_512_m32_b8,121736,10984,10640,9559,109671,1081,1425,-0.0028257869488072553,-0.003663665637116383,-0.002053624236051784
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.2,pq_512_m32_b8,121736,9814,12393,9479,109008,2914,335,0.021185187619110205,0.020256949464414798,0.02212164027074982
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.2,pq_512_m32_b8,121736,21289,20904,19052,98595,1852,2237,-0.0031625813235197477,-0.004164955313136623,-0.002119134849181837
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.3,pq_512_m32_b8,121736,16735,20163,16178,101016,3985,557,0.028159295524742063,0.027033704080962083,0.029268252612210027
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.3,pq_512_m32_b8,121736,32139,31769,29402,87230,2367,2737,-0.0030393638693566407,-0.004149142406519024,-0.0018564763093908128
pq_512_m8_b8,pq_one_sided_cosine,frozen_origin,0.01,pq_512_m16_b8,121736,994,1460,965,120247,495,29,0.0038279555760005256,0.0034665177104554116,0.0041976079384898465
pq_512_m8_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m16_b8,121736,1267,1195,1038,120312,157,229,-0.0005914437799829139,-0.0009120145232305969,-0.0002875073930472498
pq_512_m8_b8,pq_one_sided_cosine,frozen_origin,0.05,pq_512_m16_b8,121736,3188,4790,3116,116874,1674,72,0.013159624104619834,0.01251067884602747,0.013824998357100611
pq_512_m8_b8,pq_one_sided_cosine,recalibrated_compressed,0.05,pq_512_m16_b8,121736,5530,5422,4743,115527,679,787,-0.0008871656699743708,-0.0015196819346783204,-0.00025464940527042125
pq_512_m8_b8,pq_one_sided_cosine,frozen_origin,0.1,pq_512_m16_b8,121736,5982,8532,5855,113077,2677,127,0.0209469672077282,0.02010066866005126,0.02178484589603733
pq_512_m8_b8,pq_one_sided_cosine,recalibrated_compressed,0.1,pq_512_m16_b8,121736,10640,10483,9279,109892,1204,1361,-0.0012896760202405204,-0.0021439837024380625,-0.0004926644542288242
