compression_profile,search_mode,threshold_policy,target_fpir,side,quantile,score,threshold,score_space
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.95,0.8029140532016754,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.99,0.8451429277658461,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.999,0.882340480685234,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,1.0,0.9121079444885254,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.5,0.6451155543327332,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.95,0.7660214900970459,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.99,0.807647705078125,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.999,0.8668313911557197,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,1.0,0.9109969139099121,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.5,0.6585643887519836,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.95,0.8029140532016754,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.99,0.8451429277658461,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.999,0.882340480685234,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,1.0,0.9121079444885254,0.800525426864624,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.5,0.6451155543327332,0.7652368545532227,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.95,0.7660214900970459,0.7652368545532227,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.99,0.807647705078125,0.7652368545532227,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.999,0.8668313911557197,0.7652368545532227,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,1.0,0.9109969139099121,0.7652368545532227,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.5,0.6585643887519836,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.95,0.8029140532016754,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.99,0.8451429277658461,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.999,0.882340480685234,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,1.0,0.9121079444885254,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.5,0.6451155543327332,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.95,0.7660214900970459,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.99,0.807647705078125,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.999,0.8668313911557197,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,1.0,0.9109969139099121,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.5,0.6585643887519836,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.95,0.8029140532016754,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.99,0.8451429277658461,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.999,0.882340480685234,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,1.0,0.9121079444885254,0.7777460813522339,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.5,0.6451155543327332,0.744461715221405,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.95,0.7660214900970459,0.744461715221405,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.99,0.807647705078125,0.744461715221405,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.999,0.8668313911557197,0.744461715221405,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,1.0,0.9109969139099121,0.744461715221405,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.5,0.6585643887519836,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.95,0.8029140532016754,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.99,0.8451429277658461,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.999,0.882340480685234,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,1.0,0.9121079444885254,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,0.5,0.6451155543327332,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,0.95,0.7660214900970459,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,0.99,0.807647705078125,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,0.999,0.8668313911557197,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,1.0,0.9109969139099121,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.5,0.6585643887519836,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.95,0.8029140532016754,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.99,0.8451429277658461,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.999,0.882340480685234,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,1.0,0.9121079444885254,0.7456333637237549,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.5,0.6451155543327332,0.7172175049781799,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.95,0.7660214900970459,0.7172175049781799,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.99,0.807647705078125,0.7172175049781799,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.999,0.8668313911557197,0.7172175049781799,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,1.0,0.9109969139099121,0.7172175049781799,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.5,0.6585643887519836,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.95,0.8029140532016754,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.99,0.8451429277658461,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.999,0.882340480685234,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,1.0,0.9121079444885254,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,0.5,0.6451155543327332,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,0.95,0.7660214900970459,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,0.99,0.807647705078125,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,0.999,0.8668313911557197,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,1.0,0.9109969139099121,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,origin,0.5,0.6585643887519836,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,origin,0.95,0.8029140532016754,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,origin,0.99,0.8451429277658461,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,origin,0.999,0.882340480685234,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,origin,1.0,0.9121079444885254,0.7192882895469666,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,compressed,0.5,0.6451155543327332,0.6950610876083374,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,compressed,0.95,0.7660214900970459,0.6950610876083374,cosine_similarity
