dataset,model_uid,source_run_id,evaluation_mode,group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=calibration_pool,faithfulness_gain_over_random,1748,1278,-0.0271856454894,-0.0289507806301,0.320938215103,-0.0311723459079,-0.0230471367397,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=development_pool,high_saliency_occlusion_score_drop,1749,1510,0.0538350082913,0.0343725085258,0.861063464837,0.0505048022375,0.056988797305,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=development_pool,low_saliency_occlusion_score_drop,1749,1510,0.0808725674845,0.0698808133602,0.945111492281,0.0778631479714,0.0837267777565,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=development_pool,random_occlusion_score_drop,1749,1510,0.0724440573104,0.0623003840446,0.961692395655,0.0699461729743,0.0749051280114,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=development_pool,faithfulness_gain_over_low_saliency,1749,1510,-0.0270375592017,-0.0261518955231,0.342481417953,-0.0311053216535,-0.0226601597162,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=development_pool,faithfulness_gain_over_random,1749,1510,-0.0186090490021,-0.0250728130341,0.345911949686,-0.0223521084089,-0.0150026005426,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=gallery,high_saliency_occlusion_score_drop,1191,1191,0.051705559908,0.0302758216858,0.843828715365,0.0482294371663,0.0553507111985,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=gallery,low_saliency_occlusion_score_drop,1191,1191,0.0811891249005,0.0697300434113,0.955499580185,0.0774703639728,0.0848158269708,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=gallery,random_occlusion_score_drop,1191,1191,0.0737861573796,0.065831720829,0.959697732997,0.0705035333019,0.0769615006377,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=gallery,faithfulness_gain_over_low_saliency,1191,1191,-0.0294835650175,-0.0331504940987,0.316540722082,-0.0348871251147,-0.0240922577867,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=gallery,faithfulness_gain_over_random,1191,1191,-0.0220805974841,-0.0260644555092,0.340890008396,-0.0266048243287,-0.017282135347,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=known_unknown_probe,high_saliency_occlusion_score_drop,1746,1163,0.0539534635082,0.0336278229952,0.871134020619,0.0508863296632,0.057077268742,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=known_unknown_probe,low_saliency_occlusion_score_drop,1746,1163,0.0868416686349,0.0752596706152,0.946735395189,0.083352074897,0.0902898486768,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=known_unknown_probe,random_occlusion_score_drop,1746,1163,0.0772322303224,0.0673905611038,0.966781214204,0.0745256607379,0.0801179396907,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=known_unknown_probe,faithfulness_gain_over_low_saliency,1746,1163,-0.0328882051224,-0.0347749888897,0.331042382589,-0.0375622966239,-0.0281342300573,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=known_unknown_probe,faithfulness_gain_over_random,1746,1163,-0.0232787668142,-0.0267719328403,0.327033218786,-0.0269826306771,-0.0195867182576,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=registered_probe,high_saliency_occlusion_score_drop,1751,1025,0.0532949984006,0.0336410403252,0.850371216448,0.0500950702234,0.0561613732865,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=registered_probe,low_saliency_occlusion_score_drop,1751,1025,0.0835253130038,0.0741642713547,0.95145631068,0.0802279981069,0.0869862984323,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=registered_probe,random_occlusion_score_drop,1751,1025,0.0750394601573,0.0659122467041,0.96402055968,0.0723606679526,0.0776738674518,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,1751,1025,-0.0302303146033,-0.0312579870224,0.34037692747,-0.034716600166,-0.0255730812686,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_random,1751,1025,-0.0217444617567,-0.0255736112595,0.330668189606,-0.0254638221705,-0.0181960347852,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,1747,1155,0.0510146136566,0.033287525177,0.856325128792,0.0481926349176,0.0541882952454,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,1747,1155,0.0858838129415,0.0736083984375,0.947910704064,0.0825681084259,0.0891520695795,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,1747,1155,0.0758369450373,0.0656245946884,0.961076130509,0.072957504834,0.0785870370538,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,1747,1155,-0.0348691992935,-0.0338022708893,0.323983972524,-0.0393157700959,-0.0302081680082,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,1747,1155,-0.0248223313807,-0.0284780263901,0.333142530052,-0.0285729189461,-0.0210473718224,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=African,high_saliency_occlusion_score_drop,2489,1612,0.0569873962921,0.0328261852264,0.850944154279,0.0539938386046,0.0599168084109,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=African,low_saliency_occlusion_score_drop,2489,1612,0.0831662221169,0.0724866986275,0.944556046605,0.0807133547441,0.0855568264461,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=African,random_occlusion_score_drop,2489,1612,0.075461330149,0.0664033889771,0.948975492166,0.0731687130739,0.0777871459018,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=African,faithfulness_gain_over_low_saliency,2489,1612,-0.0261788258307,-0.0319864153862,0.354760948172,-0.030458521352,-0.0222679243286,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=African,faithfulness_gain_over_random,2489,1612,-0.0184739338449,-0.0254996418953,0.343511450382,-0.0221381916929,-0.0145035881435,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Asian,high_saliency_occlusion_score_drop,2483,1474,0.0488937763776,0.0308238863945,0.846153846154,0.0465231673517,0.051175119048,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Asian,low_saliency_occlusion_score_drop,2483,1474,0.0929151514228,0.0795356035233,0.948852194925,0.089585895417,0.0961563180838,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Asian,random_occlusion_score_drop,2483,1474,0.0805969974287,0.0680570602417,0.962948046718,0.0776734789566,0.0831963557519,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Asian,faithfulness_gain_over_low_saliency,2483,1474,-0.0440213750302,-0.038787484169,0.296012887636,-0.0480364419068,-0.0397277719347,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Asian,faithfulness_gain_over_random,2483,1474,-0.0317032210502,-0.0304890275002,0.310108739428,-0.0353329597497,-0.0285116098354,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Caucasian,high_saliency_occlusion_score_drop,2478,1623,0.052115338075,0.0340375006199,0.855528652139,0.0497295414823,0.0544811461339,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Caucasian,low_saliency_occlusion_score_drop,2478,1623,0.0830468495945,0.0729666650295,0.95197740113,0.0804691351114,0.085526478053,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Caucasian,random_occlusion_score_drop,2478,1623,0.0763783208437,0.0682431161404,0.974576271186,0.0740783574736,0.0784781678019,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Caucasian,faithfulness_gain_over_low_saliency,2478,1623,-0.0309315115346,-0.0315433740616,0.314769975787,-0.0342484849866,-0.0272548860961,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Caucasian,faithfulness_gain_over_random,2478,1623,-0.0242629827596,-0.028932929039,0.318805488297,-0.0272078372337,-0.0212494714129,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Indian,high_saliency_occlusion_score_drop,2482,1596,0.0522514215905,0.0346132963896,0.876309427881,0.0498262981868,0.0545280343535,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Indian,low_saliency_occlusion_score_drop,2482,1596,0.0775699791237,0.0671244561672,0.947219983884,0.075279997767,0.0801522623777,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Indian,random_occlusion_score_drop,2482,1596,0.069828064803,0.0599586963654,0.964544721998,0.0677869092079,0.0720164469569,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Indian,faithfulness_gain_over_low_saliency,2482,1596,-0.0253185575511,-0.025098413229,0.354955680902,-0.0287609327809,-0.0219011945414,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,rfw_group=Indian,faithfulness_gain_over_random,2482,1596,-0.0175766432125,-0.0224951803684,0.358178887994,-0.0206052779885,-0.0146377100216,0.95,identity_cluster,1000
