partition_seed,target_fpir,reference_method,candidate_method,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,bootstrap_seed
8972,0.2,continuous_fiqa,continuous_fiqa_margin,tpir_at_rank_k,1301,1301,1301,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972
8972,0.2,continuous_fiqa,continuous_fiqa_margin_distortion,fpir,23695,27163,15802,121736,0.02848787540251035,0.026237103239797596,0.030854061247289215,query,2000,8972
8972,0.2,continuous_fiqa,continuous_fiqa_margin_distortion,tpir_at_rank_k,1301,1317,763,60423,0.0002647998278801119,-0.003605717040737023,0.004180550406454688,mated_identity_cluster,2000,8972
8972,0.2,continuous_fiqa,continuous_fiqa_runnerup,fpir,23695,24212,6426,121736,0.0042468949201550895,0.0011251807189327728,0.007393252612210027,query,2000,8972
8972,0.2,continuous_fiqa,continuous_fiqa_runnerup,tpir_at_rank_k,1301,1508,438,60423,0.0034258477731989472,-0.0029411027151801995,0.009318410327774147,mated_identity_cluster,2000,8972
8972,0.2,continuous_fiqa_margin,continuous_fiqa_margin_distortion,fpir,23695,27163,15802,121736,0.02848787540251035,0.026237103239797596,0.030854061247289215,query,2000,8972
8972,0.2,continuous_fiqa_margin,continuous_fiqa_margin_distortion,tpir_at_rank_k,1301,1317,763,60423,0.0002647998278801119,-0.003605717040737023,0.004180550406454688,mated_identity_cluster,2000,8972
8972,0.3,global_safe,fiqa_2bin,fpir,34619,34936,29249,121736,0.0026039955313136623,0.0008625221791417494,0.004362513964644802,query,2000,8972
8972,0.3,global_safe,fiqa_2bin,tpir_at_rank_k,1852,2025,1566,60423,0.0028631481389537095,0.0016012202131873452,0.004215809989152186,mated_identity_cluster,2000,8972
8972,0.3,global_safe,fiqa_5bin,fpir,34619,35488,28271,121736,0.007138397844516002,0.005273501675757377,0.009012124597489646,query,2000,8972
8972,0.3,global_safe,fiqa_5bin,tpir_at_rank_k,1852,2144,1482,60423,0.004832596858812042,0.002712164365254435,0.007207798145242764,mated_identity_cluster,2000,8972
8972,0.3,global_safe,continuous_fiqa,fpir,34619,35451,28778,121736,0.006834461457580338,0.004977574423342315,0.008765689689163431,query,2000,8972
8972,0.3,global_safe,continuous_fiqa,tpir_at_rank_k,1852,2081,1532,60423,0.003789947536534101,0.0017957599024724768,0.005989259628278445,mated_identity_cluster,2000,8972
8972,0.3,global_safe,continuous_fiqa_margin,fpir,34619,35451,28778,121736,0.006834461457580338,0.004977574423342315,0.008765689689163431,query,2000,8972
8972,0.3,global_safe,continuous_fiqa_margin,tpir_at_rank_k,1852,2081,1532,60423,0.003789947536534101,0.0017957599024724768,0.005989259628278445,mated_identity_cluster,2000,8972
8972,0.3,global_safe,continuous_fiqa_margin_distortion,fpir,34619,39495,23878,121736,0.040053887099954,0.03729361076427679,0.04269074061904449,query,2000,8972
8972,0.3,global_safe,continuous_fiqa_margin_distortion,tpir_at_rank_k,1852,2024,1156,60423,0.0028465981497112027,-0.0013781833333371871,0.007756293900997447,mated_identity_cluster,2000,8972
8972,0.3,global_safe,continuous_fiqa_runnerup,fpir,34619,36208,12124,121736,0.01305283564434514,0.009659016231845964,0.016782217257015182,query,2000,8972
8972,0.3,global_safe,continuous_fiqa_runnerup,tpir_at_rank_k,1852,1742,424,60423,-0.0018204988166757691,-0.010112880474470743,0.005991905671531435,mated_identity_cluster,2000,8972
8972,0.3,fiqa_2bin,fiqa_5bin,fpir,34936,35488,29503,121736,0.00453440231320234,0.0027929289610304263,0.0062680718932772534,query,2000,8972
8972,0.3,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,2025,2144,1591,60423,0.001969448719858332,-9.420509267152059e-05,0.003999206067349192,mated_identity_cluster,2000,8972
8972,0.3,fiqa_2bin,continuous_fiqa,fpir,34936,35451,30453,121736,0.004230465926266675,0.002628433659722679,0.0058573470460668966,query,2000,8972
8972,0.3,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,2025,2081,1682,60423,0.0009267993975803915,-0.0008657030472659661,0.0027850744044907276,mated_identity_cluster,2000,8972
8972,0.3,fiqa_5bin,continuous_fiqa,fpir,35488,35451,31441,121736,-0.00030393638693566405,-0.0017420894394427275,0.0011830929223894317,query,2000,8972
8972,0.3,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,2144,2081,1799,60423,-0.0010426493222779405,-0.0022754420523527206,0.00023404160370651028,mated_identity_cluster,2000,8972
8972,0.3,continuous_fiqa,continuous_fiqa_margin,fpir,35451,35451,35451,121736,0.0,0.0,0.0,query,2000,8972
8972,0.3,continuous_fiqa,continuous_fiqa_margin,tpir_at_rank_k,2081,2081,2081,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972
8972,0.3,continuous_fiqa,continuous_fiqa_margin_distortion,fpir,35451,39495,25505,121736,0.03321942564237366,0.030722013208911086,0.035823626536110924,query,2000,8972
8972,0.3,continuous_fiqa,continuous_fiqa_margin_distortion,tpir_at_rank_k,2081,2024,1376,60423,-0.0009433493868228986,-0.004553292316536685,0.0030948766468288976,mated_identity_cluster,2000,8972
8972,0.3,continuous_fiqa,continuous_fiqa_runnerup,fpir,35451,36208,12948,121736,0.006218374186764803,0.0028830830649931,0.009898879542616807,query,2000,8972
8972,0.3,continuous_fiqa,continuous_fiqa_runnerup,tpir_at_rank_k,2081,1742,684,60423,-0.00561044635320987,-0.01327264601952461,0.0014839675138392382,mated_identity_cluster,2000,8972
8972,0.3,continuous_fiqa_margin,continuous_fiqa_margin_distortion,fpir,35451,39495,25505,121736,0.03321942564237366,0.030722013208911086,0.035823626536110924,query,2000,8972
8972,0.3,continuous_fiqa_margin,continuous_fiqa_margin_distortion,tpir_at_rank_k,2081,2024,1376,60423,-0.0009433493868228986,-0.004553292316536685,0.0030948766468288976,mated_identity_cluster,2000,8972
