split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir,partition_seed
test,low,59684,0.49027403561805877,5326,0.08923664633737685,-0.429314523935318,-0.313490452170372,[0.54809153],False,fiqa_s,0.1,2
test,high,62052,0.5097259643819413,5649,0.09103654999033069,-0.47282732281717876,-0.3416660636663439,[0.54809153],False,fiqa_s,0.1,2
fit,low,35632,0.49984569200123447,3563,0.09999438706780422,-0.44047752022743225,-0.3342917883396147,[0.5601946],False,fiqa_l,0.1,2
fit,high,35654,0.5001543079987656,3563,0.09993268637460033,-0.4611990029556377,-0.3148429581522941,[0.5601946],False,fiqa_l,0.1,2
safety,low,13721,0.49823886125131633,1297,0.09452663800014577,-0.44047752022743225,-0.34349157810211195,[0.5601946],False,fiqa_l,0.1,2
safety,high,13818,0.5017611387486837,1146,0.08293530178028659,-0.4611990029556377,-0.32269906908273704,[0.5601946],False,fiqa_l,0.1,2
test,low,58605,0.48141059341525927,5626,0.09599863492876035,-0.44047752022743225,-0.3363164067268372,[0.5601946],False,fiqa_l,0.1,2
test,high,63131,0.5185894065847407,5306,0.0840474568753861,-0.4611990029556377,-0.3141924589872361,[0.5601946],False,fiqa_l,0.1,2
fit,all,71286,1.0,14257,0.19999719440002245,-0.5056922435760498,-0.32423651665449155,[],False,global_safe,0.2,2
safety,all,27539,1.0,5009,0.18188750499291914,-0.5056922435760498,-0.33403321146965076,[],False,global_safe,0.2,2
test,all,121736,1.0,21926,0.18011105999868568,-0.5056922435760498,-0.3246752083301546,[],False,global_safe,0.2,2
fit,low,35361,0.49604410403164717,7072,0.19999434405135602,-0.483826220035553,-0.31513505578041073,[0.54809153],False,fiqa_s,0.2,2
fit,high,35925,0.5039558959683529,7174,0.1996938065414057,-0.5360710963245906,-0.3403792107105251,[0.54809153],False,fiqa_s,0.2,2
safety,low,13724,0.49834779766876064,2542,0.18522296706499564,-0.483826220035553,-0.3241225841641426,[0.54809153],False,fiqa_s,0.2,2
safety,high,13815,0.5016522023312393,2594,0.187766920014477,-0.5360710963245906,-0.35081797599792475,[0.54809153],False,fiqa_s,0.2,2
test,low,59684,0.49027403561805877,10794,0.18085248977950538,-0.483826220035553,-0.313490452170372,[0.54809153],False,fiqa_s,0.2,2
test,high,62052,0.5097259643819413,11251,0.1813156707277767,-0.5360710963245906,-0.3416660636663439,[0.54809153],False,fiqa_s,0.2,2
fit,low,35632,0.49984569200123447,7126,0.19998877413560845,-0.4885239601135254,-0.3342917883396147,[0.5601946],False,fiqa_l,0.2,2
fit,high,35654,0.5001543079987656,7125,0.19983732540528412,-0.5382659107940411,-0.3148429581522941,[0.5601946],False,fiqa_l,0.2,2
safety,low,13721,0.49823886125131633,2645,0.19277020625318855,-0.4885239601135254,-0.34349157810211195,[0.5601946],False,fiqa_l,0.2,2
safety,high,13818,0.5017611387486837,2416,0.17484440584744537,-0.5382659107940411,-0.32269906908273704,[0.5601946],False,fiqa_l,0.2,2
test,low,58605,0.48141059341525927,11153,0.19030799419844724,-0.4885239601135254,-0.3363164067268372,[0.5601946],False,fiqa_l,0.2,2
test,high,63131,0.5185894065847407,11112,0.17601495303416706,-0.5382659107940411,-0.3141924589872361,[0.5601946],False,fiqa_l,0.2,2
