reference_method,candidate_method,target_fpir,metric,split_count,delta_min,delta_q25,delta_median,delta_q75,delta_max,positive_delta_split_count,negative_delta_split_count,positive_conditional_ci_split_count,negative_conditional_ci_split_count,between_split_statistics_are_ci,independent_replications,multiple_comparison_adjustment
global_empirical,fiqa_s,0.1,tpir_at_rank_k,20,-0.0017873988381907552,-0.0005833871207983715,-0.0004964996772752097,-0.0004137497310626748,-0.00024824983863760486,0,20,0,5,False,False,none
global_empirical,fiqa_s,0.2,fpir,20,-0.018794769008345927,-0.00467404876125386,-0.0014662877045409739,-0.0003511697443648551,0.0021439837024380625,4,15,1,10,False,False,none
global_empirical,fiqa_s,0.2,tpir_at_rank_k,20,-0.0026645482680436256,-0.0006495870777683994,-0.00033927477947139333,-0.00013653741125068268,0.00014894990318256292,2,18,0,4,False,False,none
global_empirical,fiqa_s,0.3,fpir,20,-0.02903824669777223,-0.008713527633567721,-0.005154596832489979,-0.0027087303673523034,-0.0013636064927383847,0,20,0,18,False,False,none
global_empirical,fiqa_s,0.3,tpir_at_rank_k,20,-0.004154047299869255,-0.0014812240372043758,-0.00101782433841418,-0.0007902619863297089,-0.0006123496019727587,0,20,0,7,False,False,none
global_safe,fiqa_l,0.01,fpir,20,-0.0007310902280344352,-0.0003881349806137872,-0.00012732470263521062,-1.8482618124466058e-05,0.0002792928961030427,5,15,1,6,False,False,none
global_safe,fiqa_l,0.01,tpir_at_rank_k,20,-0.0002151498601525909,-0.00015308740049318966,-0.00010757493007629545,-6.619995697002797e-05,-1.6549989242506992e-05,0,20,0,0,False,False,none
global_safe,fiqa_l,0.05,fpir,20,-0.0023575606229874484,-0.0010083294999014261,-0.0006941249917855031,-0.00036965236248932116,-0.00011500295721889991,0,20,0,12,False,False,none
global_safe,fiqa_l,0.05,tpir_at_rank_k,20,-0.00013239991394005594,-3.723747579564073e-05,2.4824983863760486e-05,8.274994621253496e-05,0.00011584992469754894,11,7,0,0,False,False,none
global_safe,fiqa_l,0.1,fpir,20,-0.0032693697837944406,-0.0012157455477426562,-0.0003860813563777354,-0.00013964644805152134,0.001026812118025892,4,16,1,7,False,False,none
global_safe,fiqa_l,0.1,tpir_at_rank_k,20,0.0001820498816675769,0.0004551247041689423,0.0005709746288664912,0.0006495870777683994,0.0008109494728828426,20,0,10,0,False,False,none
global_safe,fiqa_l,0.2,fpir,20,-0.0017907603338371558,0.0008933265426825261,0.00174968784911612,0.002552654925412368,0.005487283958730368,17,3,12,2,False,False,none
global_safe,fiqa_l,0.2,tpir_at_rank_k,20,0.0011419492577329825,0.0015019115237575095,0.0018204988166757691,0.0019818612117902122,0.002283898515465965,20,0,20,0,False,False,none
global_safe,fiqa_l,0.3,fpir,20,-0.0017332588552277058,0.0004867089439442729,0.0020659459814680948,0.0026614970099231123,0.005166918577906289,16,4,12,1,False,False,none
global_safe,fiqa_l,0.3,tpir_at_rank_k,20,0.002002548698343346,0.002523873359482316,0.00269764824652864,0.0028300481604686956,0.0032934478592588916,20,0,20,0,False,False,none
global_safe,fiqa_s,0.01,fpir,20,-0.0005339423013734639,-0.0002443812840901623,-8.214496944207137e-05,6.982322402576067e-05,0.0006653742524807781,6,14,2,4,False,False,none
global_safe,fiqa_s,0.01,tpir_at_rank_k,20,-6.619995697002797e-05,-3.3099978485013984e-05,-8.274994621253496e-06,3.723747579564073e-05,0.00016549989242506993,8,10,0,0,False,False,none
global_safe,fiqa_s,0.05,fpir,20,-0.0005257278044292567,0.0005031379378326871,0.0007968062035880923,0.000961096142472235,0.0016182558980088059,17,3,12,0,False,False,none
global_safe,fiqa_s,0.05,tpir_at_rank_k,20,-4.964996772752098e-05,2.8962481174387235e-05,5.792496234877448e-05,0.00013653741125068268,0.00016549989242506993,16,3,0,0,False,False,none
global_safe,fiqa_s,0.1,fpir,20,-0.0008953801669185779,0.0006900177433133996,0.0010021686271932707,0.0018605835578629165,0.0030147203785240192,17,3,14,0,False,False,none
global_safe,fiqa_s,0.1,tpir_at_rank_k,20,-0.00046339969879019576,-0.00023583734670572462,-0.00015722489780381642,-6.206245965940122e-05,0.00016549989242506993,4,16,0,0,False,False,none
global_safe,fiqa_s,0.2,fpir,20,-0.000961096142472235,0.0012588716566997438,0.0020659459814680948,0.002511582440691332,0.005076559111520011,19,1,15,0,False,False,none
global_safe,fiqa_s,0.2,tpir_at_rank_k,20,-0.00013239991394005594,4.5512470416894234e-05,0.00013239991394005594,0.0002647998278801119,0.0006123496019727587,16,4,0,0,False,False,none
global_safe,fiqa_s,0.3,fpir,20,-0.0032118683051849907,-0.001207531050798449,-0.0008584149306696458,0.0002505421567983177,0.004616547282644411,6,13,2,4,False,False,none
global_safe,fiqa_s,0.3,tpir_at_rank_k,20,-0.0007943994836403357,-0.0005957996127302517,-0.0004799496880327028,-0.00034754977409264686,0.0004468497095476888,3,17,0,0,False,False,none
