dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,compressed_score_space,compressed_dir_rank1,compressed_fpir,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_direct_cosine,frozen_origin,cosine_similarity,8.27499462125e-05,0.000607872773871,1024,0,3000,3072000,1024,0.186899577292,5350.46688969,17417,0.0956142710489,5,2.74485476973e-05
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_direct_cosine,frozen_origin,cosine_similarity,4.96499677275e-05,0.000451797331931,1536,0,3000,4608000,1536,0.190354078031,5253.36788339,17445,0.095767982916,1,5.48970953947e-06
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.00488224682654,0.111306433594,128,0,3000,384000,128,0.179670811763,5565.73430144,9450,0.051877755148,12022,0.0659972880835
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.0076295450408,0.110016757574,256,0,3000,768000,256,0.181587661878,5506.98208049,7182,0.0394270939125,9645,0.0529482485082
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.00900319414792,0.109836038641,512,0,3000,1536000,512,0.182808223585,5470.21343127,5998,0.0329272778177,8661,0.0475463743213
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.00983069361005,0.109581389236,1024,0,3000,3072000,1024,0.186899577292,5350.46688969,5479,0.0300781185667,8134,0.044653297394
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.00996309352399,0.109195307879,1536,0,3000,4608000,1536,0.190354078031,5253.36788339,5367,0.0294632710983,7981,0.0438133718345
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.0173112887477,0.703390944339,128,0,3000,384000,128,0.193027330519,5180.61352924,0,0,111740,0.61342014394
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.0138688909852,0.34126306105,256,0,3000,768000,256,0.195362744086,5118.68322017,0,0,46014,0.252603494749
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.0096155437499,0.173605178419,512,0,3000,1536000,512,0.192109578994,5205.3625084,0,0,14919,0.0819009766193
