compression_profile,search_mode,threshold_policy,target_fpir,protocol_uid,model_uid,gallery_template_count,top_k,origin_score_space,compressed_score_space,origin_threshold,origin_fpir,origin_fpir_ci_low,origin_fpir_ci_high,origin_tpir20_count,origin_tpir20,origin_rank20,compressed_threshold,compressed_fpir,compressed_fpir_ci_low,compressed_fpir_ci_high,compressed_tpir20_count,compressed_tpir20,compressed_rank20,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high,mated_count,target_met_on_test,new_fa_same_winner,new_fa_changed_winner,score_effect_at_origin_threshold,threshold_effect_after_score_change
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.8176113367080688,0.10250049286981665,0.10080921634814964,0.10421685531191184,375,0.006206245965940122,0.09956473528292206,121736,1247,12478,1186,109197,11292,61,0.09225701518039035,0.09056482880988369,0.09385062758756654,60423,False,2756,8536,0.09225701518039035,0.0
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.8714381456375122,0.010744562003022935,0.010180658894899676,0.01133934168524625,56,0.0009267993975803915,0.09956473528292206,121736,1247,1308,386,119567,922,861,0.0005010843135966354,-0.00013964644805152134,0.0011828875599658277,60423,False,336,586,0.09225701518039035,-0.0917559308667937
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7799594402313232,0.04711013997502793,0.04593417146768124,0.0483146900498672,453,0.007497145126855668,0.1777799844430101,0.7799594402313232,0.23785075901951763,0.23546733159547661,0.24025073050180673,913,0.015110140178408884,0.09956473528292206,121736,5735,28955,5631,92677,23324,104,0.19074061904448972,0.18843193467832028,0.19293388972859302,60423,False,4723,18601,0.1907406190444897,0.0
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7799594402313232,0.04711013997502793,0.04593417146768124,0.0483146900498672,453,0.007497145126855668,0.1777799844430101,0.8405930995941162,0.0469622790300322,0.04578809203284703,0.04816505692611246,193,0.0031941479238038494,0.09956473528292206,121736,5735,5717,3000,113284,2717,2735,-0.00014786094499572846,-0.0013553919957941776,0.0010516609712821175,60423,True,772,1945,0.1907406190444897,-0.19088847998948544
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7557207345962524,0.09171485838207268,0.09010639311666495,0.09334909024188094,794,0.013140691458550551,0.1777799844430101,0.7557207345962524,0.346011040283893,0.34334373830063647,0.34868806040445777,1382,0.022872085133144662,0.09956473528292206,121736,11165,42122,11028,79477,31094,137,0.25429618190182035,0.25184785108759944,0.2567935943352829,60423,False,5761,25333,0.25429618190182035,0.0
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7557207345962524,0.09171485838207268,0.09010639311666495,0.09334909024188094,794,0.013140691458550551,0.1777799844430101,0.8215447664260864,0.0916244989156864,0.09001675471715781,0.09325801541113929,335,0.005544246396239842,0.09956473528292206,121736,11165,11154,6921,106338,4233,4244,-9.035946638627851e-05,-0.0015771834132877703,0.0014706003154366814,60423,True,1027,3206,0.25429618190182035,-0.2543865413682066
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7210968732833862,0.18329007031609384,0.18112666378656414,0.18547346419139973,1502,0.024858083842245502,0.1777799844430101,0.7210968732833862,0.5084773608464218,0.5056688204998165,0.5112853661926162,2222,0.03677407609685054,0.09956473528292206,121736,22313,61900,22208,59731,39692,105,0.3251872905303279,0.3225091591640928,0.3279147088782283,60423,False,6520,33172,0.32518729053032797,0.0
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7210968732833862,0.18329007031609384,0.18112666378656414,0.18547346419139973,1502,0.024858083842245502,0.1777799844430101,0.7942128777503967,0.18076821975422225,0.17861656585615307,0.1829400201503216,674,0.011154692749449713,0.09956473528292206,121736,22313,22006,15985,93402,6021,6328,-0.002521850561871591,-0.00434567424590918,-0.0006569543931129669,60423,True,1229,4792,0.32518729053032797,-0.32770914109219956
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.6924573183059692,0.27820036800946313,0.27569015025005017,0.28072458339106,2269,0.03755192559124836,0.1777799844430101,0.6924573183059692,0.6273904186107643,0.6246704089481551,0.6301023887516956,2935,0.04857421842675802,0.09956473528292206,121736,33867,76376,33794,45287,42582,73,0.34919005060130115,0.3464215597686798,0.3519747650653874,60423,False,6485,36097,0.34919005060130115,0.0
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.6924573183059692,0.27820036800946313,0.27569015025005017,0.28072458339106,2269,0.03755192559124836,0.1777799844430101,0.7713204622268677,0.2758674508773083,0.2733638354946906,0.27838521111090514,1054,0.01744368866160237,0.09956473528292206,121736,33867,33583,26367,80653,7216,7500,-0.002332917132154827,-0.0043046017611881445,-0.00033617828744168045,60423,True,1309,5907,0.34919005060130115,-0.351522967733456
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.8176113367080688,0.3788936715515542,0.37617244722523857,0.3816225388149409,982,0.016252089436141866,0.06826870562534135,121736,1247,46125,1245,75609,44880,2,0.3686501938621279,0.3660051258460932,0.3715745547742656,60423,False,5146,39734,0.3686501938621279,0.0
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.9327037930488586,0.009257738056121442,0.008735022444593194,0.00981142407418615,17,0.0002813498171226189,0.06826870562534135,121736,1247,1127,154,119516,973,1093,-0.0009857396333048565,-0.0017252497207071037,-0.0002464349083262141,60423,True,257,716,0.3686501938621279,-0.3696359334954327
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7799594402313232,0.04711013997502793,0.04593417146768124,0.0483146900498672,453,0.007497145126855668,0.1777799844430101,0.7799594402313232,0.5676381678386015,0.5648531737734868,0.570418893305477,1666,0.02757228207801665,0.06826870562534135,121736,5735,69102,5730,52629,63372,5,0.5205280278635737,0.517751322534008,0.5233786636656371,60423,False,6446,56926,0.5205280278635737,0.0
