method,target_fpir,split_count,target_met_split_count,target_met_split_fraction,wilson_upper_met_split_count,wilson_lower_exceeds_target_split_count,observed_pattern,split_dependent_method,between_split_statistics_are_ci,fpir_min,fpir_q25,fpir_median,fpir_q75,fpir_max,fpir_excess_min,fpir_excess_q25,fpir_excess_median,fpir_excess_q75,fpir_excess_max,tpir_min,tpir_q25,tpir_median,tpir_q75,tpir_max
global_empirical,0.01,20,0,0.0,0,20,all_observed_splits_exceed,False,False,0.011574226194387856,0.011574226194387856,0.011574226194387856,0.011574226194387856,0.011574226194387856,0.0015742261943878563,0.0015742261943878563,0.0015742261943878563,0.0015742261943878563,0.0015742261943878563,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05
global_empirical,0.05,20,0,0.0,0,20,all_observed_splits_exceed,False,False,0.052194913583492146,0.052194913583492146,0.052194913583492146,0.052194913583492146,0.052194913583492146,0.002194913583492143,0.002194913583492143,0.002194913583492143,0.002194913583492143,0.002194913583492143,0.0014232990748556014,0.0014232990748556014,0.0014232990748556014,0.0014232990748556014,0.0014232990748556014
global_empirical,0.1,20,20,1.0,20,0,all_observed_splits_meet,False,False,0.0981714529802195,0.0981714529802195,0.0981714529802195,0.0981714529802195,0.0981714529802195,-0.0018285470197805104,-0.0018285470197805104,-0.0018285470197805104,-0.0018285470197805104,-0.0018285470197805104,0.006189695976697615,0.006189695976697615,0.006189695976697615,0.006189695976697615,0.006189695976697615
global_empirical,0.2,20,20,1.0,20,0,all_observed_splits_meet,False,False,0.1933774725635802,0.1933774725635802,0.1933774725635802,0.1933774725635802,0.1933774725635802,-0.006622527436419806,-0.006622527436419806,-0.006622527436419806,-0.006622527436419806,-0.006622527436419806,0.018420138026910282,0.018420138026910282,0.018420138026910282,0.018420138026910282,0.018420138026910282
global_empirical,0.3,20,20,1.0,20,0,all_observed_splits_meet,False,False,0.2889860024972071,0.2889860024972071,0.2889860024972071,0.2889860024972071,0.2889860024972071,-0.011013997502792916,-0.011013997502792916,-0.011013997502792916,-0.011013997502792916,-0.011013997502792916,0.03127947966833822,0.03127947966833822,0.03127947966833822,0.03127947966833822,0.03127947966833822
global_safe,0.01,20,1,0.05,0,17,split_sensitive_target_attainment,True,False,0.009882039823881186,0.011066981008083066,0.01124564631661957,0.011379131891962936,0.011557797200499442,-0.00011796017611881426,0.0010669810080830644,0.0012456463166195704,0.0013791318919629358,0.0015577972004994414,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05
global_safe,0.05,20,5,0.25,2,7,split_sensitive_target_attainment,True,False,0.048005520141946506,0.05011459223237169,0.050901130314779525,0.05149052047052639,0.052096339620161664,-0.0019944798580534967,0.0001145922323716863,0.0009011303147795184,0.0014905204705263821,0.0020963396201616608,0.0011915992254605033,0.0013364116313324397,0.0013405491286430664,0.0013405491286430664,0.0014067490856130944
global_safe,0.1,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.08876585397910232,0.09453448445817178,0.09651212459748965,0.09713847998948545,0.0981714529802195,-0.011234146020897687,-0.005465515541828225,-0.0034878754025103598,-0.0028615200105145573,-0.0018285470197805104,0.005047746718964632,0.005734571272528673,0.0059083461595749965,0.006036608576204426,0.006189695976697615
global_safe,0.2,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.17878852599066833,0.1862431819675363,0.18895396595912467,0.19069954655976867,0.19298317671025828,-0.021211474009331682,-0.013756818032463695,-0.011046034040875341,-0.00930045344023133,-0.007016823289741736,0.016599639210234513,0.017451963656223625,0.017782963441073763,0.01800225079853698,0.01837048805918276
global_safe,0.3,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.27092232371689556,0.2780422389432871,0.28409837681540384,0.28640048958401787,0.2884438456988894,-0.029077676283104426,-0.021957761056712863,-0.015901623184596175,-0.013599510415982119,-0.011556154301110566,0.028730781324992138,0.029661718219883157,0.030634030087880446,0.030898829915760553,0.03119672972212568
