method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_s,0.2,low,20,-0.38163140416145325,-0.38043150305747986,-0.37871338427066803,-0.37726370245218277,-0.36637356877326965,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s,0.3,high,20,-0.5242496112650017,-0.5213482731519326,-0.5187516658943706,-0.5148508866714187,-0.5092424154281616,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s,0.3,low,20,-0.444820374250412,-0.4428265392780304,-0.4413062781095505,-0.4398328810930252,-0.42929190397262573,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
global_empirical,0.01,all,20,-0.16620007157325745,-0.16620007157325745,-0.16620007157325745,-0.16620007157325745,-0.16620007157325745,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.05,all,20,-0.2576870024204254,-0.2576870024204254,-0.2576870024204254,-0.2576870024204254,-0.2576870024204254,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.1,all,20,-0.31927984952926636,-0.31927984952926636,-0.31927984952926636,-0.31927984952926636,-0.31927984952926636,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.2,all,20,-0.40838387608528137,-0.40838387608528137,-0.40838387608528137,-0.40838387608528137,-0.40838387608528137,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.3,all,20,-0.4788987934589386,-0.4788987934589386,-0.4788987934589386,-0.4788987934589386,-0.4788987934589386,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_safe,0.01,all,20,-0.16603411734104156,-0.1654345691204071,-0.16496608406305313,-0.16417168453335762,-0.15903939306735992,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.05,all,20,-0.25753745436668396,-0.25662828981876373,-0.25568845868110657,-0.2545023337006569,-0.25091254711151123,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.1,all,20,-0.3192754089832306,-0.31798797845840454,-0.31725454330444336,-0.3150259256362915,-0.30824077129364014,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.2,all,20,-0.4080769121646881,-0.40632597357034683,-0.4048584997653961,-0.40257125347852707,-0.3963533341884613,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.3,all,20,-0.4784312844276428,-0.4770224317908287,-0.47541435062885284,-0.47148457169532776,-0.466480553150177,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
