reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_empirical,fiqa_s,0.05,fpir,6354,6111,5761,121736,-0.001996122757442334,-0.0024972070710389694,-0.0014786094499572846,query,2000,8972,False,none,2
global_empirical,fiqa_s,0.05,tpir_at_rank_k,86,84,70,60423,-3.3099978485013984e-05,-0.00025990487371227634,0.0001636658676525622,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_s,0.05,fpir,6121,6111,5673,121736,-8.214496944207137e-05,-0.0005750147860944996,0.0004025103502661497,query,2000,8972,False,none,2
global_safe,fiqa_s,0.05,tpir_at_rank_k,81,84,69,60423,4.964996772752098e-05,-0.00012970439163262657,0.000210967478027939,mated_identity_cluster,2000,8972,False,none,2
global_empirical,fiqa_l,0.05,fpir,6354,6022,5439,121736,-0.0027272129854767693,-0.003367943747124926,-0.0021273493461260442,query,2000,8972,False,none,2
global_empirical,fiqa_l,0.05,tpir_at_rank_k,86,93,66,60423,0.00011584992469754894,-0.00020712422803197846,0.0004294848206466579,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_l,0.05,fpir,6121,6022,5351,121736,-0.0008132351974765065,-0.0014457514621804561,-0.00016428993888414274,query,2000,8972,False,none,2
global_safe,fiqa_l,0.05,tpir_at_rank_k,81,93,65,60423,0.00019859987091008392,-6.498116949427993e-05,0.0004795357755784981,mated_identity_cluster,2000,8972,False,none,2
fiqa_s,fiqa_l,0.05,fpir,6111,6022,5393,121736,-0.0007310902280344352,-0.0013389630019057634,-0.00013122658868371012,query,2000,8972,False,none,2
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,84,93,64,60423,0.00014894990318256292,-9.805844692280875e-05,0.0004204881272126603,mated_identity_cluster,2000,8972,False,none,2
global_empirical,fiqa_s,0.1,fpir,11951,11586,10616,121736,-0.0029982913846356048,-0.003803517447591509,-0.002250566800289151,query,2000,8972,False,none,2
global_empirical,fiqa_s,0.1,tpir_at_rank_k,374,355,286,60423,-0.00031444979560763285,-0.0007810859857100231,0.00015377754412455798,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_s,0.1,fpir,11582,11586,10469,121736,3.2857987776828546e-05,-0.0007639482158112637,0.0007639482158112637,query,2000,8972,False,none,2
global_safe,fiqa_s,0.1,tpir_at_rank_k,350,355,274,60423,8.274994621253496e-05,-0.0003867956107449806,0.0005453956404734271,mated_identity_cluster,2000,8972,False,none,2
global_empirical,fiqa_l,0.1,fpir,11951,11271,10124,121736,-0.005585857922060853,-0.006497667082867845,-0.004747979233751725,query,2000,8972,False,none,2
global_empirical,fiqa_l,0.1,tpir_at_rank_k,374,402,278,60423,0.00046339969879019576,-0.0004016324819154838,0.0014755256396044724,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_l,0.1,fpir,11582,11271,9989,121736,-0.0025547085496484194,-0.0034502940789906023,-0.0017250443582834988,query,2000,8972,False,none,2
global_safe,fiqa_l,0.1,tpir_at_rank_k,350,402,271,60423,0.0008605994406103636,3.287244630236313e-05,0.0018866102557503301,mated_identity_cluster,2000,8972,False,none,2
fiqa_s,fiqa_l,0.1,fpir,11586,11271,10013,121736,-0.002587566537425248,-0.0034831520667674308,-0.00174968784911612,query,2000,8972,False,none,2
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,355,402,261,60423,0.0007778494943978286,-0.00020697803992928096,0.0019273783320919585,mated_identity_cluster,2000,8972,False,none,2
global_empirical,fiqa_s,0.2,fpir,23541,22852,20815,121736,-0.005659788394558717,-0.006719663862785043,-0.0045095534599461145,query,2000,8972,False,none,2
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1113,1043,937,60423,-0.0011584992469754894,-0.0020505678973532647,-0.0003537271070957888,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_s,0.2,fpir,22735,22852,20493,121736,0.000961096142472235,-0.00013985181047512617,0.002053624236051784,query,2000,8972,False,none,2
global_safe,fiqa_s,0.2,tpir_at_rank_k,1057,1043,913,60423,-0.00023169984939509788,-0.0009648787899293945,0.0004512853819454329,mated_identity_cluster,2000,8972,False,none,2
global_empirical,fiqa_l,0.2,fpir,23541,22847,19644,121736,-0.005700860879279753,-0.0070153857527765,-0.004344852796214763,query,2000,8972,False,none,2
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1113,1174,903,60423,0.0010095493437929266,-0.00011050613174092014,0.002190478101515796,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_l,0.2,fpir,22735,22847,19365,121736,0.0009200236577511993,-0.00036164322796871886,0.00226720115660117,query,2000,8972,False,none,2
global_safe,fiqa_l,0.2,tpir_at_rank_k,1057,1174,877,60423,0.001936348741373318,0.0007943759116176296,0.003143538212313804,mated_identity_cluster,2000,8972,False,none,2
fiqa_s,fiqa_l,0.2,fpir,22852,22847,19508,121736,-4.1072484721035685e-05,-0.0013558027206413872,0.0013311592298087642,query,2000,8972,False,none,2
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1043,1174,876,60423,0.002168048590768416,0.0009582562278854521,0.003425029923636956,mated_identity_cluster,2000,8972,False,none,2
global_empirical,fiqa_s,0.3,fpir,35180,34327,31091,121736,-0.007006965893408688,-0.008354554117105867,-0.005626930406781889,query,2000,8972,False,none,2
global_empirical,fiqa_s,0.3,tpir_at_rank_k,1890,1814,1600,60423,-0.0012577991824305314,-0.002398054028767908,-0.00014262260246011553,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_s,0.3,fpir,34267,34327,30717,121736,0.0004928698166524282,-0.0008462985476769398,0.0018811198002234343,query,2000,8972,False,none,2
global_safe,fiqa_s,0.3,tpir_at_rank_k,1826,1814,1574,60423,-0.00019859987091008392,-0.0011810455833179574,0.0008458838520633296,mated_identity_cluster,2000,8972,False,none,2
global_empirical,fiqa_l,0.3,fpir,35180,34476,29318,121736,-0.0057830058487218245,-0.007499835710061116,-0.0041154629690477755,query,2000,8972,False,none,2
global_empirical,fiqa_l,0.3,tpir_at_rank_k,1890,1986,1576,60423,0.0015887989672806713,0.00038423348693271425,0.002811784520107302,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_l,0.3,fpir,34267,34476,28977,121736,0.0017168298613392916,0.0,0.003367943747124926,query,2000,8972,False,none,2
global_safe,fiqa_l,0.3,tpir_at_rank_k,1826,1986,1540,60423,0.002647998278801119,0.0014425280132907775,0.003937524937729083,mated_identity_cluster,2000,8972,False,none,2
fiqa_s,fiqa_l,0.3,fpir,34327,34476,29277,121736,0.0012239600446868634,-0.0004275645659459808,0.002924566274561345,query,2000,8972,False,none,2
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,1814,1986,1554,60423,0.0028465981497112027,0.0014120805657276713,0.0044623027272757765,mated_identity_cluster,2000,8972,False,none,2
global_empirical,fiqa_s,0.01,fpir,1409,1333,1333,121736,-0.0006243017677597423,-0.0007721627127554708,-0.00048465531970822107,query,2000,8972,False,none,3
global_empirical,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none,3
global_safe,fiqa_s,0.01,fpir,1360,1333,1323,121736,-0.0002217914174935927,-0.0003367943747124926,-0.00011500295721889991,query,2000,8972,False,none,3
global_safe,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none,3
global_empirical,fiqa_l,0.01,fpir,1409,1318,1161,121736,-0.0007475192219228494,-0.001076099099691135,-0.0004435828349871854,query,2000,8972,False,none,3
global_empirical,fiqa_l,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none,3
global_safe,fiqa_l,0.01,fpir,1360,1318,1140,121736,-0.00034500887165669973,-0.0006735887494249852,-3.2857987776828546e-05,query,2000,8972,False,none,3
global_safe,fiqa_l,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none,3
fiqa_s,fiqa_l,0.01,fpir,1333,1318,1133,121736,-0.00012321745416310706,-0.00043536833804297826,0.00018071893277255702,query,2000,8972,False,none,3
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none,3
global_empirical,fiqa_s,0.05,fpir,6354,6196,5845,121736,-0.0012978905171847277,-0.0017743313399487416,-0.0008050207005322994,query,2000,8972,False,none,3
global_empirical,fiqa_s,0.05,tpir_at_rank_k,86,85,71,60423,-1.6549989242506992e-05,-0.00023193121655449788,0.00017965645685845687,mated_identity_cluster,2000,8972,False,none,3
global_safe,fiqa_s,0.05,fpir,6198,6196,5781,121736,-1.6428993888414273e-05,-0.0005010843135966354,0.00046001182887559964,query,2000,8972,False,none,3
