reference_method,candidate_method,target_fpir,score_space,rank_k,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,confidence_interval_method,resamples,random_seed,metric_contract,resampling_unit,threshold_uncertainty_included,multiple_comparison_adjustment
global_safe,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,fpir,11201,11058,10355,121736,-0.0011746730630216205,-0.0018318328185581915,-0.000541951435894067,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,tpir_at_rank_k,665,655,609,60423,-0.00016549989242506993,-0.0004964996772752097,0.00016549989242506993,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,fpir,22571,22396,19677,121736,-0.001437536965236249,-0.00259598639679306,-0.00020515706118157435,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,tpir_at_rank_k,1289,1336,1154,60423,0.0007778494943978286,0.00019859987091008392,0.0013570991178855733,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,fpir,22553,22396,19672,121736,-0.0012896760202405204,-0.0025056269304067815,-4.1072484721035685e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,tpir_at_rank_k,1286,1336,1153,60423,0.0008274994621253496,0.0002647998278801119,0.0014067490856130944,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,fpir,34110,34057,29424,121736,-0.00043536833804297826,-0.0019963281198659387,0.001199316553854242,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,tpir_at_rank_k,1935,1995,1690,60423,0.0009929993545504195,0.00023169984939509788,0.0017211988812207272,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,fpir,34071,34057,29417,121736,-0.00011500295721889991,-0.001741473352171913,0.0014786094499572846,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,tpir_at_rank_k,1932,1995,1690,60423,0.0010426493222779405,0.0002647998278801119,0.0017547126094368014,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
