method,model_uid,target_fpir,score_space,rank_k,quality_group,quality_cutpoints,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-32375506f1e07f4c3b0ec90a,0.1,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.44079330563545227,0.9946062567421791,-0.44079330563545227,-0.4447519779205322,-0.44079330563545227,False,0.1,0.0939967105263158,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-32375506f1e07f4c3b0ec90a,0.1,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.46599215269088745,0.9945603394348193,-0.46590207764979635,-0.46282246708869934,-0.46282246708869934,False,0.09664451554680449,0.09993947647147829,True,True
global_empirical,conditional-threshold-d91f8ef4771d25b2ce858d96,0.2,negative_squared_l2_adc,20,all,[],all,98825,0,-0.5081881284713745,1.0,-0.5081881284713745,,-0.5081881284713745,False,0.2,,True,
global_safe,conditional-threshold-a36826a14c6e3331b2b8a480,0.2,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.5080992579460144,1.0,-0.5080992579460144,-0.5083054900169373,-0.5080992579460144,False,0.19999455389600665,0.19942469855780598,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-9e50a8cce8c1a4e706d2385f,0.2,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.48962879180908203,0.9946062567421791,-0.48962879180908203,-0.4889892637729645,-0.4889892637729645,False,0.19821041214750543,0.2,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-9e50a8cce8c1a4e706d2385f,0.2,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.542844295501709,0.9945603394348193,-0.5426552942910816,-0.538351833820343,-0.538351833820343,False,0.19224984275439605,0.1999546073536087,True,True
global_empirical,conditional-threshold-8e6926e92dbfbd080fffdf2d,0.3,negative_squared_l2_adc,20,all,[],all,98825,0,-0.552515983581543,1.0,-0.552515983581543,,-0.552515983581543,False,0.2999949405514799,,True,
global_safe,conditional-threshold-e0a37ed76de9490100aab0d7,0.3,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.5523946285247803,1.0,-0.5523946285247803,-0.5527368783950806,-0.5523946285247803,False,0.29999863847400166,0.29903853731578534,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-2069b173581f955b1646a120,0.3,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.5251960158348083,0.9946062567421791,-0.5251960158348083,-0.5258286595344543,-0.5251960158348083,False,0.3,0.29835526315789473,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-2069b173581f955b1646a120,0.3,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.5990907549858093,0.9945603394348193,-0.5988367439081527,-0.595167875289917,-0.595167875289917,False,0.29236743511909646,0.29996973823573914,True,True
