reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_empirical,fiqa_s_2bin,0.1,fpir,11299,11117,9643,121736,-0.0014950384438456989,-0.002390418610764277,-0.000599658276927121,query,2000,8972,False,none,0
global_empirical,fiqa_s_2bin,0.1,tpir_at_rank_k,671,661,568,60423,-0.00016549989242506993,-0.0007008161802027758,0.00035483805022670057,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.1,fpir,11293,11117,9640,121736,-0.0014457514621804561,-0.00238220411382007,-0.0005583804297824813,query,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.1,tpir_at_rank_k,671,661,568,60423,-0.00016549989242506993,-0.0007008161802027758,0.00035483805022670057,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.1,fpir,11299,10654,10008,121736,-0.005298350529013603,-0.0060130117631596244,-0.004599912926332393,query,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.1,tpir_at_rank_k,671,636,593,60423,-0.0005792496234877447,-0.0010763262369830548,-0.00013443629546346238,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.1,fpir,11293,10654,10006,121736,-0.00524906354734836,-0.005972144640862193,-0.004533991588355131,query,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.1,tpir_at_rank_k,671,636,593,60423,-0.0005792496234877447,-0.0010763262369830548,-0.00013443629546346238,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.1,fpir,11299,11101,9463,121736,-0.001626470394953013,-0.0026122100282578694,-0.0006407307616481567,query,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.1,tpir_at_rank_k,671,663,553,60423,-0.00013239991394005594,-0.0008421535321249314,0.0005396455410871919,mated_identity_cluster,2000,8972,False,none,0
