method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_l_5bin,0.3,q5,20,-0.7528388500213623,-0.7494216328851604,-0.7462610775363088,-0.7438053168350067,-0.7372770309448242,13041.0,13669.5,13939.5,14164.5,14609.0,4864.0,5410.0,5611.0,6199.5,6896.0,0
fiqa_s_2bin,0.01,high,20,-0.3420180399484542,-0.34093178825531345,-0.3394608407160675,-0.3361993357539177,-0.33181890845298767,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s_2bin,0.01,low,20,-0.3169263005256653,-0.31620871275663376,-0.315315306186676,-0.3116030618548393,-0.3034498393535614,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_2bin,0.05,high,20,-0.4263556510056828,-0.425240519338651,-0.4246893560620576,-0.41956840455532074,-0.4138440489768982,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s_2bin,0.05,low,20,-0.38778525590896606,-0.3865694925189018,-0.3857395350933075,-0.3811773881316185,-0.3703387677669525,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_2bin,0.1,high,20,-0.47457537055015564,-0.47348590212291536,-0.47287796049391584,-0.4697006493806839,-0.4653777480125427,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s_2bin,0.1,low,20,-0.4314318299293518,-0.4303181543946266,-0.4294860064983368,-0.426303006708622,-0.41620510816574097,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_2bin,0.2,high,20,-0.5382308174693395,-0.5364138040093185,-0.5355857610702515,-0.533156955305333,-0.527045726776123,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s_2bin,0.2,low,20,-0.4857030510902405,-0.4847358539700508,-0.48379646241664886,-0.4818803369998932,-0.4716092646121979,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_2bin,0.3,high,20,-0.5872718098642598,-0.5860480696320792,-0.5846075021001369,-0.5822310447692871,-0.5741859078407288,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s_2bin,0.3,low,20,-0.5258057117462158,-0.5247133374214172,-0.5238014757633209,-0.5217230170965195,-0.5150852799415588,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_5bin,0.01,q1,20,-0.3145682215690613,-0.3130617290735245,-0.31220418214797974,-0.3091283440589905,-0.3023608922958374,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.01,q2,20,-0.3176184892654419,-0.3170725107192993,-0.31577813625335693,-0.3102937787771225,-0.29938817024230957,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
fiqa_s_5bin,0.01,q3,20,-0.32182776927948,-0.31948768347501755,-0.3179001957178116,-0.31594253331422806,-0.30749136209487915,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.01,q4,20,-0.33288923876319304,-0.33186280727386475,-0.3303232789039612,-0.3266090825200081,-0.32136091589927673,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
fiqa_s_5bin,0.01,q5,20,-0.378545065440403,-0.37543968046254883,-0.3740765311936358,-0.3714994117617607,-0.3580911159515381,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
fiqa_s_5bin,0.05,q1,20,-0.38313955068588257,-0.38193829357624054,-0.38044217228889465,-0.37836799770593643,-0.36457711458206177,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.05,q2,20,-0.38795343041419983,-0.38656388223171234,-0.3855292797088623,-0.382637158036232,-0.37163132429122925,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
