dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,query_representation,gallery_representation,distance_function,threshold_policy,target_fpir,compressed_score_space,compressed_dir_rank1,compressed_fpir,origin_decision_threshold,compressed_decision_threshold,origin_tpir20,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m8_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,recalibrated_compressed,0.01,negative_squared_l2_adc,0.943277310924,0.00829383886256,0.311345130205,-1.00947141647,0.978991596639,0.943277310924,0.963519313305,0.995798319328,0.993697478992,25,1688,0.0148104265403,14,1688,0.00829383886256,0.0100517254132,0.0217724496831,0.0049468781778,0.0138737144106,0.961764485681,0.98854939741,0.918730015078,0.960727131116,-0.00651658767773,-0.0136255924171,0,-0.0357142857143,-0.0525210084034,-0.0210084033613,8,524288,50,524688,10493.76,0.00555600739368,179985.361635,40,0.0184842883549,12,0.00554528650647
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m16_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,recalibrated_compressed,0.01,negative_squared_l2_adc,0.976890756303,0.0142180094787,0.311345130205,-1.09854745865,0.978991596639,0.976890756303,0.997854077253,0.995798319328,0.985294117647,25,1688,0.0148104265403,24,1688,0.0142180094787,0.0100517254132,0.0217724496831,0.00957290919012,0.0210691220418,0.961764485681,0.98854939741,0.959097733567,0.987048106177,-0.000592417061611,-0.00770142180095,0.00651658767773,-0.00210084033613,-0.0063025210084,0,16,524288,50,525088,10501.76,0.0105143715342,95107.9193602,20,0.00924214417745,18,0.0083179297597
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m32_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,recalibrated_compressed,0.01,negative_squared_l2_adc,0.978991596639,0.0159952606635,0.311345130205,-1.17229580879,0.978991596639,0.978991596639,1,0.995798319328,0.993697478992,25,1688,0.0148104265403,27,1688,0.0159952606635,0.0100517254132,0.0217724496831,0.0110159662257,0.0231724965993,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0.00118483412322,-0.00592417061611,0.00829383886256,0,0,0,32,524288,50,525888,10517.76,0.0209883086874,47645.5732996,17,0.00785582255083,19,0.00878003696858
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m64_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,recalibrated_compressed,0.01,negative_squared_l2_adc,0.978991596639,0.0284360189573,0.311345130205,-1.28197944164,0.978991596639,0.978991596639,1,0.995798319328,0.993697478992,25,1688,0.0148104265403,48,1688,0.0284360189573,0.0100517254132,0.0217724496831,0.0215144547893,0.0374990291871,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0.0136255924171,0.00710900473934,0.0207345971564,0,0,0,64,524288,50,527488,10549.76,0.0269475046212,37109.187439,8,0.00369685767098,31,0.014325323475
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,recalibrated_compressed,0.01,negative_squared_l2_adc,0.978991596639,0.0231042654028,0.311345130205,-1.3454760313,0.978991596639,0.978991596639,1,0.995798319328,0.995798319328,25,1688,0.0148104265403,39,1688,0.0231042654028,0.0100517254132,0.0217724496831,0.0169468932071,0.0314272959901,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0.00829383886256,0.00414691943128,0.0130331753555,0,0,0,128,524288,50,530688,10613.76,0.049840573013,20063.9747809,1,0.000462107208872,15,0.00693160813309
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m8_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.733193277311,0,0.311345130205,0.311345130205,0.978991596639,0.733193277311,0.748927038627,0.995798319328,0.995798319328,25,1688,0.0148104265403,0,1688,0,0.0100517254132,0.0217724496831,0,0.00227057848752,0.961764485681,0.98854939741,0.69170868027,0.770944131234,-0.0148104265403,-0.021327014218,-0.00947867298578,-0.245798319328,-0.283665966387,-0.207983193277,8,524288,50,524688,10493.76,0.00507333641411,197108.947323,142,0.0656192236599,0,0
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m16_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.96218487395,0.000592417061611,0.311345130205,0.311345130205,0.978991596639,0.96218487395,0.982832618026,0.995798319328,0.987394957983,25,1688,0.0148104265403,1,1688,0.000592417061611,0.0100517254132,0.0217724496831,0.000104583813744,0.00334813853813,0.961764485681,0.98854939741,0.941021128389,0.975948407927,-0.0142180094787,-0.0201569905213,-0.00888625592417,-0.0168067226891,-0.0294117647059,-0.0063025210084,16,524288,50,525088,10501.76,0.0040030036966,249812.409828,32,0.0147874306839,0,0
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m32_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.976890756303,0.00118483412322,0.311345130205,0.311345130205,0.978991596639,0.976890756303,0.997854077253,0.995798319328,0.993697478992,25,1688,0.0148104265403,2,1688,0.00118483412322,0.0100517254132,0.0217724496831,0.000324984408263,0.00430988180796,0.961764485681,0.98854939741,0.959097733567,0.987048106177,-0.0136255924171,-0.0195497630332,-0.00829383886256,-0.00210084033613,-0.0063025210084,0,32,524288,50,525888,10517.76,0.00461640480578,216618.784979,24,0.0110905730129,0,0
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m64_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.978991596639,0.00177725118483,0.311345130205,0.311345130205,0.978991596639,0.978991596639,1,0.995798319328,0.991596638655,25,1688,0.0148104265403,3,1688,0.00177725118483,0.0100517254132,0.0217724496831,0.000604605803334,0.00521240427724,0.961764485681,0.98854939741,0.961764485681,0.98854939741,-0.0130331753555,-0.0189573459716,-0.00770142180095,0,0,0,64,524288,50,527488,10549.76,0.00408308687586,244912.741365,22,0.0101663585952,0,0
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pq,pq_512_m128_b8,pq_one_sided_cosine,origin_float32,pq_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.978991596639,0.0100710900474,0.311345130205,0.311345130205,0.978991596639,0.978991596639,1,0.995798319328,0.995798319328,25,1688,0.0148104265403,17,1688,0.0100710900474,0.0100517254132,0.0217724496831,0.0062973698931,0.0160696542884,0.961764485681,0.98854939741,0.961764485681,0.98854939741,-0.00473933649289,-0.00888625592417,-0.00118483412322,0,0,0,128,524288,50,530688,10613.76,0.0040761552679,245329.221847,9,0.00415896487985,1,0.000462107208872
