dataset,model_uid,run_id,compression_family,compression_profile,search_mode,target_fpir,comparison_role,threshold_policy,threshold,realized_fpir,tpir20,tpir20_retention,closed_set_rank20_recall,target_met_on_test
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.719169616699,0.00991489781166,0.000893699419095,0.0240748996879,0.12213892061,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.48535078764,0.306088585135,0.0346060275061,0.932233615693,0.12213892061,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.01,origin,origin_calibrated,0.840707361698,0.0124121048827,0.000976449365308,1,0.168478890489,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.840707361698,0.0132335545771,0.00105919931152,1.08474576271,0.168032040779,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.842130899429,0.012362817901,0.000976449365308,1,0.168032040779,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.05,origin,origin_calibrated,0.802969455719,0.0499030689361,0.006619995697,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.802969455719,0.0521456266018,0.0068516955464,1.035,0.168032040779,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.804479837418,0.0499030689361,0.00655379574003,0.99,0.168032040779,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.1,origin,origin_calibrated,0.778957605362,0.0926923835184,0.0127434917167,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.778957605362,0.0960192547808,0.0130579415123,1.02467532468,0.168032040779,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.780502378941,0.0924870210948,0.0126607417705,0.993506493506,0.168032040779,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.2,origin,origin_calibrated,0.745839476585,0.180012486035,0.024775333896,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.745839476585,0.1846783203,0.0252718335733,1.02004008016,0.168032040779,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.747436523438,0.179979628048,0.0247091339391,0.997327989312,0.168032040779,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.3,origin,origin_calibrated,0.719169616699,0.270749819281,0.0371216258709,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.719169616699,0.277017480449,0.0378498253976,1.01961658493,0.168032040779,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.720790028572,0.271176973122,0.0369561259785,0.995541685243,0.168032040779,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.01,origin,origin_calibrated,0.840707361698,0.0124121048827,0.000976449365308,1,0.168478890489,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.840707361698,0.0165932838273,0.00112539926849,1.15254237288,0.0803832977509,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.85123705864,0.0124121048827,0.000810949472883,0.830508474576,0.0803832977509,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.05,origin,origin_calibrated,0.802969455719,0.0499030689361,0.006619995697,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.802969455719,0.0407356903463,0.00220114856925,0.3325,0.0803832977509,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.78781068325,0.0578054149964,0.00306174800986,0.4625,0.0803832977509,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.1,origin,origin_calibrated,0.778957605362,0.0926923835184,0.0127434917167,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.778957605362,0.0697328645594,0.00369064760108,0.28961038961,0.0803832977509,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.756091117859,0.112801472038,0.00559389636397,0.438961038961,0.0803832977509,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.2,origin,origin_calibrated,0.745839476585,0.180012486035,0.024775333896,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.745839476585,0.136976736545,0.0069675454711,0.281229124916,0.0803832977509,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.721552729607,0.212361175002,0.0103933932443,0.419505678023,0.0803832977509,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.3,origin,origin_calibrated,0.719169616699,0.270749819281,0.0371216258709,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.719169616699,0.221199973714,0.0107409430184,0.289344627731,0.0803832977509,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.697289645672,0.313917000723,0.0140178408884,0.37761925992,0.0803832977509,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_reconstruction_cosine,0.01,origin,origin_calibrated,0.840707361698,0.0124121048827,0.000976449365308,1,0.168478890489,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_reconstruction_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.840707361698,0.356484523888,0.0262979329063,26.9322033898,0.114327325687,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_reconstruction_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.930376946926,0.0122724584346,0.000231699849395,0.237288135593,0.114327325687,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_reconstruction_cosine,0.05,origin,origin_calibrated,0.802969455719,0.0499030689361,0.006619995697,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_reconstruction_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.802969455719,0.575105145561,0.047498469126,7.175,0.114327325687,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_reconstruction_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.906411886215,0.0524249194979,0.00233354848319,0.3525,0.114327325687,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_reconstruction_cosine,0.1,origin,origin_calibrated,0.778957605362,0.0926923835184,0.0127434917167,1,0.168478890489,True
