dataset,model_uid,run_id,compression_family,compression_profile,search_mode,threshold_policy,target_fpir,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,origin_decision_threshold,compressed_decision_threshold,origin_tpir20_count,origin_tpir20_denominator,origin_tpir20,compressed_tpir20_count,compressed_tpir20_denominator,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m128_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1522,121736,0.0125024643491,0.0118934953152,0.013142199017,0.000645449580458,0.000472221847753,0.000882167308537,0.000496499677275,0.000347820825568,0.000708687462462,9.03594663863e-05,0.840707361698,-0.347647666931,59,60423,0.000976449365308,47,60423,0.000777849494398,0.796610169492,0.168478890489,0.160650745577,-0.000180718932773,0.000353223368601,-0.000148949903183,-0.000314449795608,0
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,402,121736,0.00330222777157,0.00299525215179,0.00364054964604,0.000645449580458,0.000472221847753,0.000882167308537,0.000115849924698,5.61198540193e-05,0.000239137326233,-0.00910987711113,0.840707361698,0.840707361698,59,60423,0.000976449365308,7,60423,0.000115849924698,0.118644067797,0.168478890489,0.165003392748,-0.00964402477492,-0.0085841493067,-0.00052959965576,-0.000711649537428,-0.000347549774093
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1491,121736,0.0122478149438,0.0116451613121,0.0128812502804,0.000645449580458,0.000472221847753,0.000882167308537,0.000496499677275,0.000347820825568,0.000708687462462,-0.000164289938884,0.840707361698,0.817571401596,59,60423,0.000976449365308,44,60423,0.00072819952667,0.745762711864,0.168478890489,0.165003392748,-0.000484655319708,0.000164289938884,-0.000148949903183,-0.00033099978485,3.3099978485e-05
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1197,121736,0.00983275284222,0.00929373134049,0.0104027084617,0.000645449580458,0.000472221847753,0.000882167308537,6.619995697e-05,2.57441620636e-05,0.000170219395435,-0.00257935204048,0.840707361698,-0.310585737228,59,60423,0.000976449365308,5,60423,8.27499462125e-05,0.0847457627119,0.168478890489,0.0897174916836,-0.00308865085102,-0.002061838733,-0.000579249623488,-0.00079439948364,-0.00039719974182
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,13357,121736,0.109721035684,0.107977650377,0.111489051228,0.000645449580458,0.000472221847753,0.000882167308537,0.00185359879516,0.00154085219987,0.00222968177676,0.0973089308011,0.840707361698,0.840707361698,59,60423,0.000976449365308,353,60423,0.0058421462026,5.98305084746,0.168478890489,0.0918358903067,0.095723122166,0.0989764736808,0.0012081492147,0.000844049451368,0.00157224897804
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1269,121736,0.0104241966222,0.00986890712712,0.0110103829094,0.000645449580458,0.000472221847753,0.000882167308537,6.619995697e-05,2.57441620636e-05,0.000170219395435,-0.0019879082605,0.840707361698,0.914946138859,59,60423,0.000976449365308,7,60423,0.000115849924698,0.118644067797,0.168478890489,0.0918358903067,-0.00262863902215,-0.00136360649274,-0.000579249623488,-0.00079439948364,-0.000380649752578
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1277,121736,0.0104899125978,0.00993284520602,0.0110778726343,0.000645449580458,0.000472221847753,0.000882167308537,0.00013239991394,6.70918040753e-05,0.000261263250428,-0.00192219228494,0.840707361698,-0.340922802687,59,60423,0.000976449365308,13,60423,0.000215149860153,0.220338983051,0.168478890489,0.108402429538,-0.0024150621016,-0.0014128934744,-0.000513049666518,-0.000711649537428,-0.000314449795608
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,2364,121736,0.0194190707761,0.0186589335995,0.0202095370846,0.000645449580458,0.000472221847753,0.000882167308537,0.000281349817123,0.000175676445222,0.000450559477543,0.00700696589341,0.840707361698,0.840707361698,59,60423,0.000976449365308,26,60423,0.000430299720305,0.440677966102,0.168478890489,0.119672972213,0.0063744496287,0.00763948215811,-0.000364099763335,-0.000579249623488,-0.000148949903183
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1304,121736,0.0107117040152,0.0101486782079,0.0113056084703,0.000645449580458,0.000472221847753,0.000882167308537,8.27499462125e-05,3.5346332353e-05,0.000193715099397,-0.00170040086745,0.840707361698,0.8589001894,59,60423,0.000976449365308,6,60423,9.9299935455e-05,0.101694915254,0.168478890489,0.119672972213,-0.00230827364132,-0.0011005372281,-0.000562699634245,-0.000777849494398,-0.000364099763335
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1403,121736,0.0115249392127,0.0109405930477,0.0121401127028,0.000645449580458,0.000472221847753,0.000882167308537,0.000248249838638,0.000150454718953,0.000409585455309,-0.000887165669974,0.840707361698,-0.379558652639,59,60423,0.000976449365308,18,60423,0.000297899806365,0.305084745763,0.168478890489,0.13610711153,-0.00128967602024,-0.000492869816652,-0.00039719974182,-0.000562699634245,-0.000248249838638
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,309,121736,0.00253827955576,0.00227089086753,0.00283706271093,0.000645449580458,0.000472221847753,0.000882167308537,0,0,6.35720604942e-05,-0.00987382532694,0.840707361698,0.840707361698,59,60423,0.000976449365308,0,60423,0,0,0.168478890489,0.149115403075,-0.0104241966222,-0.00930702503779,-0.000645449580458,-0.00086059944061,-0.000446849709548
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pq,pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1499,121736,0.0123135309194,0.0117092410443,0.012948598352,0.000645449580458,0.000472221847753,0.000882167308537,0.00019859987091,0.000113615214535,0.000347131336973,-9.85739633305e-05,0.840707361698,0.803903102875,59,60423,0.000976449365308,17,60423,0.000281349817123,0.28813559322,0.168478890489,0.149115403075,-0.00056680028915,0.000386081356378,-0.000446849709548,-0.000645449580458,-0.000248249838638
