method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_l_5bin,0.3,q5,20,-0.8969564218165488,-0.8929220679226492,-0.8883222519503855,-0.8838633767139166,-0.8761782050132751,13041.0,13669.5,13939.5,14164.5,14609.0,4864.0,5410.0,5611.0,6199.5,6896.0,0
fiqa_s_2bin,0.01,high,20,-0.40971424800927236,-0.4087821817341403,-0.4079632927516518,-0.4054588333664598,-0.4006907045841217,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s_2bin,0.01,low,20,-0.3819573223590851,-0.38154247403144836,-0.38034795224666595,-0.3793098032474518,-0.36994704604148865,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_2bin,0.05,high,20,-0.49189906497755453,-0.4903634755690259,-0.4890455770527883,-0.48710121754355384,-0.4806690216064453,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s_2bin,0.05,low,20,-0.4522048532962799,-0.4513888657093048,-0.45035988092422485,-0.4492463618516922,-0.43821752071380615,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_2bin,0.1,high,20,-0.5450044794555948,-0.5432136842729823,-0.5420403046960196,-0.5401599749113891,-0.5321959257125854,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s_2bin,0.1,low,20,-0.4949149489402771,-0.49396176636219025,-0.492030993103981,-0.49137427657842636,-0.481143057346344,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_2bin,0.2,high,20,-0.6199634446982681,-0.6182452596999373,-0.617366408287318,-0.6148155009179529,-0.6025650501251221,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s_2bin,0.2,low,20,-0.5537792444229126,-0.5525277256965637,-0.5507262945175171,-0.5486352294683456,-0.53985995054245,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_2bin,0.3,high,20,-0.6818714343681537,-0.6803255528561019,-0.6793646170995221,-0.6774392405212073,-0.6623457074165344,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
