sample_id,identity_id,protocol_role,aligned_face_index,prepared_row_index,raw_embedding_norm,heatmap_available,heatmap_index,gradcam_target_score,gradcam_valid_heatmap,raw_norm_bin,target_score_bin,faithfulness_stratum,selection_hash,faithfulness_selection_index,faithfulness_occlusion_fraction,high_saliency_occlusion_score_drop,low_saliency_occlusion_score_drop,random_occlusion_score_drop,random_occlusion_score_drop_std,faithfulness_gain_over_low_saliency,faithfulness_gain_over_random
survface:unknown_unknown_probe:5668_cam1_89,survface:unmated:5668_cam1_89,unknown_unknown_probe,371819,371819,23.8164749146,True,90637,0.651728451252,True,q4,q2,unknown_unknown_probe|norm=q4|score=q2,0006cb0bcfa3ddf0dffdf666e8fd9f15b4138c354e3a103ecb3957d0d9f72394,29,0.1,0.12077331543,0.131079554558,0.163706183434,0.0184764700828,-0.0103062391281,-0.0429328680038
survface:unknown_unknown_probe:8109_cam2_1,survface:unmated:8109_cam2_1,unknown_unknown_probe,388169,388169,23.4903354645,True,106987,0.724300563335,True,q4,q3,unknown_unknown_probe|norm=q4|score=q3,0004d687749e00670c79a17bda54a7e34fc6e4118bc54586e045846d3a35fc22,30,0.1,-0.0538637042046,0.182977437973,0.196969330311,0.043957976933,-0.236841142178,-0.250833034515
survface:unknown_unknown_probe:10196_cam1_39,survface:unmated:10196_cam1_39,unknown_unknown_probe,346093,346093,23.0557880402,True,64911,0.764761090279,True,q4,q4,unknown_unknown_probe|norm=q4|score=q4,00010f06a32d7adc7c33a0b50374e52ddbef1d2daf571f7d6cb6d030048c4dd8,31,0.1,0.067798614502,0.15590429306,0.266877681017,0.0364124209372,-0.0881056785583,-0.199079066515
survface:registered_probe:5402_cam2_37,survface:registered:2798,registered_probe,294471,294471,18.1516551971,True,13289,0.580448508263,True,q1,q1,registered_probe|norm=q1|score=q1,0048051fdec649be84ba981fa25dc78f26c0f31ac4359adffc98ecd3337a9672,32,0.1,0.135222136974,0.221715629101,0.308788716793,0.0467539634205,-0.0864934921265,-0.173566579819
survface:registered_probe:9399_cam1_49,survface:registered:4968,registered_probe,329573,329573,19.0797348022,True,48391,0.684854567051,True,q1,q2,registered_probe|norm=q1|score=q2,0011742013c4e3767e01bea381b5b32bbbe6c0586bcb246f2ec158f884da30cd,33,0.1,0.141084551811,0.192937254906,0.22892087698,0.0171544896545,-0.0518527030945,-0.0878363251686
survface:registered_probe:8824_cam1_6,survface:registered:4663,registered_probe,319782,319782,18.7555923462,True,38600,0.717846691608,True,q1,q3,registered_probe|norm=q1|score=q3,0031c6f1473b4027e023c909a1f752ef953361840e3dbf6d590cbbc55e227d31,34,0.1,0.0615322589874,0.167338728905,0.0678965449333,0.022260174321,-0.105806469917,-0.00636428594589
survface:registered_probe:10469_cam2_10,survface:registered:0252,registered_probe,288032,288032,16.3448600769,True,6850,0.801565349102,True,q1,q4,registered_probe|norm=q1|score=q4,001874313e49020092743b807059240200519c228caa20aa55b8c38e027cc00c,35,0.1,0.284087002277,0.153791189194,0.199567198753,0.0256983774271,0.130295813084,0.084519803524
survface:registered_probe:9101_cam1_74,survface:registered:4802,registered_probe,323815,323815,21.054731369,True,42633,0.449890375137,True,q2,q1,registered_probe|norm=q2|score=q1,00247806389204da5b5d01c6a7cd995d5816016946c9de9c376e0a54b7a89ea2,36,0.1,0.0100679993629,0.220368459821,0.277190476656,0.028659313479,-0.210300460458,-0.267122477293
survface:registered_probe:9145_cam1_93,survface:registered:4822,registered_probe,324621,324621,20.6767883301,True,43439,0.639370799065,True,q2,q2,registered_probe|norm=q2|score=q2,0015a4197dafd3fb12badd06a9daf811cdf6243b49fd83a6f5d8e8c68ff2a686,37,0.1,0.0325387120247,0.262307465076,0.169826686382,0.0409612069808,-0.229768753052,-0.137287974358
survface:registered_probe:10028_cam2_13,survface:registered:0010,registered_probe,281336,281336,20.1472492218,True,154,0.726349055767,True,q2,q3,registered_probe|norm=q2|score=q3,00577b37aa82a7ba78142f643146bf4bd1a6aa51c17f11954c27ea301638cfc2,38,0.1,0.0114742517471,0.218969702721,0.29422712326,0.0527597300014,-0.207495450974,-0.282752871513
survface:registered_probe:9910_cam4_45,survface:registered:5277,registered_probe,340289,340289,20.9829406738,True,59107,0.761675596237,True,q2,q4,registered_probe|norm=q2|score=q4,0065bfda4c61b9479e54c13aebdbf3d953f6cda3fb23f9bbea3b84cfc08ff896,39,0.1,0.0349746346474,0.144869029522,0.107520222664,0.0145273779626,-0.109894394875,-0.0725455880165
survface:registered_probe:5348_cam2_5,survface:registered:2763,registered_probe,293742,293742,21.9264431,True,12560,0.543154001236,True,q3,q1,registered_probe|norm=q3|score=q1,0007254c8fee35634bcbd8d0c8a39d9d98033f166d7673fc064121aff3001a2f,40,0.1,0.0761193931103,0.0930918157101,0.220196068287,0.0212609798093,-0.0169724225998,-0.144076675177
survface:registered_probe:9318_cam1_71,survface:registered:4919,registered_probe,327310,327310,21.977930069,True,46128,0.648128390312,True,q3,q2,registered_probe|norm=q3|score=q2,000a7e3ad723905958e22ac10adb85a174fdcbf3534cf300f8e946c7bd69c971,41,0.1,0.0761461853981,0.0613077282906,0.227531731129,0.0269552418015,0.0148384571075,-0.151385545731
survface:registered_probe:9571_cam2_87,survface:registered:5068,registered_probe,332974,332974,21.4032707214,True,51792,0.725541949272,True,q3,q3,registered_probe|norm=q3|score=q3,0019a61f25f72d58e4e11120b641afc8cc012048af19b20a023b21e7001423c2,42,0.1,0.278461873531,0.176215648651,0.211791217327,0.0263519577368,0.10224622488,0.0666706562042
survface:registered_probe:8908_cam2_36,survface:registered:4700,registered_probe,320740,320740,22.0661449432,True,39558,0.753280043602,True,q3,q4,registered_probe|norm=q3|score=q4,001f552a198151df92006d53222c9d4716ade9f90fa99e21b1b96a3084f243f9,43,0.1,0.212289690971,0.401795476675,0.418178617954,0.0307181841158,-0.189505785704,-0.205888926983
survface:registered_probe:10236_cam2_16,survface:registered:0124,registered_probe,284506,284506,24.4511680603,True,3324,0.524725496769,True,q4,q1,registered_probe|norm=q4|score=q1,00021141d1a95652090ffbdb3ee0b6782205b5cda899e40853a0403c4e0a590b,44,0.1,0.155785739422,0.285216957331,0.278431728482,0.0282196228535,-0.129431217909,-0.12264598906
