partition_seed,target_fpir,method,split,partition,route,query_count,mated_count,non_mated_count,false_accept_count,true_identification_at_rank_k_count,tpir_available,realized_fpir,tpir_at_rank_k,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
0,0.2,plus_both,test,test,saliency,182157,60422,121735,23045,1736.0,True,0.18930463712161663,0.028731256826983548,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_both,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,baseline,calibration,fit,baseline,109703,42639,67064,20024,,False,0.29858046045568415,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,baseline,calibration,safety,baseline,50705,18944,31761,9528,,False,0.29999055445357514,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,baseline,test,test,baseline,182159,60423,121736,34787,2496.0,True,0.28575770519813365,0.041308773149297456,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_outside,calibration,fit,saliency,109702,42638,67064,20063,,False,0.2991619945127043,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_outside,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_outside,calibration,safety,saliency,50705,18944,31761,9528,,False,0.29999055445357514,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_outside,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_outside,test,test,saliency,182157,60422,121735,34845,2502.0,True,0.28623649730973016,0.04140875839925855,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_outside,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_entropy,calibration,fit,saliency,109702,42638,67064,20073,,False,0.29931110580937614,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_entropy,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_entropy,calibration,safety,saliency,50705,18944,31761,9528,,False,0.29999055445357514,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_entropy,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_entropy,test,test,saliency,182157,60422,121735,35006,2478.0,True,0.2875590421817883,0.041011552083678134,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_entropy,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_both,calibration,fit,saliency,109702,42638,67064,20015,,False,0.2984462602886795,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_both,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_both,calibration,safety,saliency,50705,18944,31761,9528,,False,0.29999055445357514,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_both,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_both,test,test,saliency,182157,60422,121735,35027,2510.0,True,0.28773154803466544,0.04154116050445202,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.3,plus_both,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,baseline,calibration,fit,baseline,113800,44096,69704,656,,False,0.009411224606909217,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,baseline,calibration,safety,baseline,46608,17487,29121,291,,False,0.009992788709178944,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,baseline,test,test,baseline,182159,60423,121736,1207,158.0,True,0.009914897811658014,0.002614898300316105,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_outside,calibration,fit,saliency,113799,44095,69704,624,,False,0.008952140479742913,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_outside,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_outside,calibration,safety,saliency,46608,17487,29121,291,,False,0.009992788709178944,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_outside,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_outside,test,test,saliency,182157,60422,121735,1156,153.0,True,0.009496036472666038,0.002532190261825163,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_outside,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_entropy,calibration,fit,saliency,113799,44095,69704,669,,False,0.009597727533570527,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_entropy,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_entropy,calibration,safety,saliency,46608,17487,29121,291,,False,0.009992788709178944,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_entropy,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_entropy,test,test,saliency,182157,60422,121735,1248,163.0,True,0.010251776399556413,0.002697692893317004,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_entropy,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_both,calibration,fit,saliency,113799,44095,69704,641,,False,0.00919602892230001,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_both,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_both,calibration,safety,saliency,46608,17487,29121,291,,False,0.009992788709178944,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_both,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_both,test,test,saliency,182157,60422,121735,1205,157.0,True,0.00989855012937939,0.0025983913144218993,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.01,plus_both,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,baseline,calibration,fit,baseline,113800,44096,69704,3009,,False,0.04316825433260645,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,baseline,calibration,safety,baseline,46608,17487,29121,1456,,False,0.04999828302599499,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
