schema_version,metric_contract,rank_k,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,partition_seed,tpir_cluster95_low,tpir_cluster95_high
2,genuine-score-topk-v2,20,continuous-threshold-86fd4b498705b1d70f44be90,continuous_fiqa_margin,0.05,negative_squared_l2_adc,182159,121736,60423,6411,419,0.05266313990931196,0.0514224835259663,0.05393202741414463,0.00693444549261043,0.006303399148012898,0.007628182223725468,False,False,False,8972,0.004603194008026047,0.009906950372097972
2,genuine-score-topk-v2,20,continuous-threshold-3028f02892dcb6f2dc201404,continuous_fiqa_margin_distortion,0.05,negative_squared_l2_adc,182159,121736,60423,6957,360,0.05714825524084905,0.05585822247686661,0.05846623607377555,0.005957996127302518,0.005374999746662071,0.006603807044256713,False,False,False,8972,0.003840486204137995,0.00853865044625624
2,genuine-score-topk-v2,20,continuous-threshold-750a64da0098f07765fecfb1,continuous_fiqa_runnerup,0.05,negative_squared_l2_adc,182159,121736,60423,5987,750,0.04918019320496813,0.047979616023212164,0.05040922131458147,0.012412491931880244,0.011560169026442723,0.013326808722436018,True,False,False,8972,0.009130545592236541,0.0161678383752703
2,genuine-score-topk-v2,20,conditional-threshold-59d62ff4be74b400fbabb235,global_safe,0.1,negative_squared_l2_adc,182159,121736,60423,11611,770,0.09537852401918906,0.09374121751783399,0.0970413659035268,0.012743491716730384,0.011879612518380453,0.013669322715521874,True,True,False,8972,0.008196192611844134,0.01864522772192594
2,genuine-score-topk-v2,20,conditional-threshold-6fbe8ef0336896d73cbaf6f1,fiqa_2bin,0.1,negative_squared_l2_adc,182159,121736,60423,11406,788,0.09369455214562661,0.0920704075337673,0.09534433841477499,0.01304139152309551,0.012167243926475705,0.013977453043947851,True,True,False,8972,0.008444476449061574,0.018911589084727783
2,genuine-score-topk-v2,20,conditional-threshold-4958f56c11e481f50a315fcd,fiqa_5bin,0.1,negative_squared_l2_adc,182159,121736,60423,11959,824,0.09823716895577315,0.09657787716169962,0.09992181572571406,0.013637191135825762,0.01274286558161647,0.014593354861849546,True,True,False,8972,0.009561161024895279,0.0185639180231271
2,genuine-score-topk-v2,20,continuous-threshold-b80442c647de74c22094b9ff,continuous_fiqa,0.1,negative_squared_l2_adc,182159,121736,60423,12037,899,0.09887789971742131,0.0972137405016994,0.10056737347293301,0.014878440329013786,0.013943500300233553,0.015875060712070913,True,False,False,8972,0.010744291821585645,0.02018975043777008
2,genuine-score-topk-v2,20,continuous-threshold-adc25c44b453370f435c8e77,continuous_fiqa_margin,0.1,negative_squared_l2_adc,182159,121736,60423,12006,851,0.09862325031215088,0.09696102297870951,0.10031080825613084,0.01408404084537345,0.013174880693791215,0.015054982354456643,True,False,False,8972,0.010080499249726477,0.019237747752756332
2,genuine-score-topk-v2,20,continuous-threshold-b295c973d89dbd3ed385ccac,continuous_fiqa_margin_distortion,0.1,negative_squared_l2_adc,182159,121736,60423,13167,773,0.10816028126437537,0.10642794892958304,0.10991734233424405,0.012793141684457904,0.0119275425125921,0.013720686344063763,False,False,False,8972,0.009057537651160916,0.017448823652626688
2,genuine-score-topk-v2,20,continuous-threshold-5d40858e06e45d14e55fd91e,continuous_fiqa_runnerup,0.1,negative_squared_l2_adc,182159,121736,60423,12343,970,0.10139153578234869,0.09970848886785753,0.10309973860278689,0.016053489565231782,0.015081700065604286,0.017086810018533915,False,False,False,8972,0.012350561273204698,0.020288691953728167
2,genuine-score-topk-v2,20,conditional-threshold-15b7e5d7417a555785cdae24,global_safe,0.2,negative_squared_l2_adc,182159,121736,60423,21900,1463,0.1798974830781363,0.17774992335843284,0.18206524424746254,0.02421263426178773,0.023016955805809217,0.02546880628416042,True,True,False,8972,0.01716325710251118,0.032930695115033326
2,genuine-score-topk-v2,20,conditional-threshold-7118c0cb70b280811c134ec1,fiqa_2bin,0.2,negative_squared_l2_adc,182159,121736,60423,21926,1524,0.18011105999868568,0.17796249431163244,0.18227981365666915,0.025222183605580657,0.024001808229383168,0.02650292418990841,True,True,False,8972,0.018149604536669892,0.03363739373356545
2,genuine-score-topk-v2,20,conditional-threshold-43fa2487619f97b797551392,fiqa_5bin,0.2,negative_squared_l2_adc,182159,121736,60423,22471,1565,0.18458796083327858,0.1824185659761224,0.18677726112723328,0.025900733164523442,0.024664056080435696,0.027197689183154232,True,True,False,8972,0.01956486512706422,0.03333204292250672
2,genuine-score-topk-v2,20,continuous-threshold-b048a74712c51d9893cf44c2,continuous_fiqa,0.2,negative_squared_l2_adc,182159,121736,60423,22818,1656,0.18743839127291845,0.1852559865551587,0.18964052153877267,0.027406782185591578,0.026134728659650042,0.028738923160797205,True,True,False,8972,0.020916766448542304,0.03509715146731138
