analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,event_count,non_event_count,event_rate,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,event_support_eligible,association_status,run_id,source_run_dir
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,cosine_to_origin,9122,1674,,,,-0.0265118371795,0.95,-0.0557445808275,0.00652060122403,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,face_attention,angular_error_rad,9122,1674,,,,0.0715333810818,0.95,0.0263827443439,0.12192228631,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,face_attention,reconstruction_mse,9122,1674,,,,0.0715332703064,0.95,0.026381367201,0.121921561488,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,face_attention,cosine_to_origin,9122,1674,,,,-0.0715333810818,0.95,-0.12192228631,-0.0263827443439,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,angular_error_rad,9122,1674,,,,-0.0715333810818,0.95,-0.12192228631,-0.0263827443439,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,reconstruction_mse,9122,1674,,,,-0.0715332703064,0.95,-0.121921561488,-0.026381367201,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,cosine_to_origin,9122,1674,,,,0.0715333810818,0.95,0.0263827443439,0.12192228631,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,angular_error_rad,9122,1674,,,,0.0331714985514,0.95,-0.0434777892595,0.109235439511,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,reconstruction_mse,9122,1674,,,,0.0331710951233,0.95,-0.0434779641713,0.109233295214,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,cosine_to_origin,9122,1674,,,,-0.0331714985514,0.95,-0.109235439511,0.0434777892595,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
