analysis_scope,dataset_id,model_uid,compression_family,compression_profile,protocol_uid,threshold_source_split,evaluation_split,threshold_policy,is_mated,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,right_cheek_attention,top1_score_drift,60364,60364,0.04070380610392735,0.95,0.03307155311511072,0.048324643252951924,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,right_cheek_attention,agreement_with_origin,60364,60364,-0.06357890233177925,0.95,-0.0721294119035126,-0.05559178808303688,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,right_cheek_attention,threshold_crossing,60364,60364,-0.08508874999689288,0.95,-0.09338134223478735,-0.07728261740214101,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,jaw_attention,top1_score_drift,60864,60864,0.1020972524130707,0.95,0.09469489286486006,0.110112362040565,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,jaw_attention,agreement_with_origin,60864,60864,-0.07981019070042766,0.95,-0.08703335635982781,-0.0719628026384986,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,jaw_attention,threshold_crossing,60864,60864,-0.16888755992723758,0.95,-0.1770602680942775,-0.16187654130815168,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,face_attention,top1_score_drift,60864,60864,0.2334498860758469,0.95,0.22546381015964786,0.241467020752285,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,face_attention,agreement_with_origin,60864,60864,-0.08610906816621575,0.95,-0.09337607675505333,-0.07829324117155269,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,face_attention,threshold_crossing,60864,60864,-0.1972252668878328,0.95,-0.2044500497395357,-0.19014136119203054,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,outside_face_attention,top1_score_drift,60864,60864,-0.2334498860758469,0.95,-0.24146702075228502,-0.22546381015964786,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,outside_face_attention,agreement_with_origin,60864,60864,0.08610906816621575,0.95,0.07829324117155269,0.09337607675505333,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,outside_face_attention,threshold_crossing,60864,60864,0.1972252668878328,0.95,0.19014136119203054,0.2044500497395357,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,saliency_entropy,top1_score_drift,60864,60864,0.18993577852497345,0.95,0.18287923558890407,0.19727839539505462,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,saliency_entropy,agreement_with_origin,60864,60864,-0.028699597132821913,0.95,-0.03682474869667367,-0.02100724461545373,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,saliency_entropy,threshold_crossing,60864,60864,-0.19358082792246947,0.95,-0.20119984336204536,-0.1859849987543642,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,qmul-survface-v1-official-open-set-identification,calibration,test,frozen_origin,False,maximum_region_concentration,top1_score_drift,60864,60864,-0.09407284095288213,0.95,-0.10222976401977261,-0.08693907596743526,500,weighted_rerank,identity-cluster-weighted-rerank-v1
