method,target_fpir,split_count,target_met_split_count,target_met_split_fraction,wilson_upper_met_split_count,wilson_lower_exceeds_target_split_count,observed_pattern,split_dependent_method,between_split_statistics_are_ci,fpir_min,fpir_q25,fpir_median,fpir_q75,fpir_max,fpir_excess_min,fpir_excess_q25,fpir_excess_median,fpir_excess_q75,fpir_excess_max,tpir_min,tpir_q25,tpir_median,tpir_q75,tpir_max
fiqa_s_2bin,0.2,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.16602319773937044,0.17612908260498128,0.17936764802523492,0.18039446014326083,0.1821975422225143,-0.033976802260629574,-0.02387091739501874,-0.02063235197476508,-0.01960553985673919,-0.01780245777748571,0.022110785627989342,0.02328583486420734,0.023592009665193717,0.023749234562997535,0.02393128444466511
fiqa_s_2bin,0.3,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.24990964053361372,0.2648908293356115,0.2671970493526976,0.26913977788000265,0.27055267135440625,-0.050090359466386264,-0.0351091706643885,-0.03280295064730235,-0.030860222119997352,-0.02944732864559374,0.03263657878622379,0.035048739718319184,0.03544180196282873,0.0357314267745726,0.035996226602452705
fiqa_s_5bin,0.01,20,0,0.0,0,20,all_observed_splits_exceed,True,False,0.011155286850233292,0.013050782020109088,0.013479989485443912,0.013853749096405337,0.014235723204310968,0.001155286850233292,0.0030507820201090886,0.003479989485443912,0.0038537490964053365,0.004235723204310968,0.0008771494298528706,0.001021961835724807,0.0010840242953842078,0.0011253992684904755,0.0011750492362179964
fiqa_s_5bin,0.05,20,4,0.2,2,14,split_sensitive_target_attainment,True,False,0.04669120063087336,0.05072041138200697,0.05187044095419596,0.05235509627390419,0.05336137214956956,-0.00330879936912664,0.0007204113820069632,0.0018704409541959628,0.002355096273904185,0.0033613721495695595,0.006024196084272545,0.006553795740032769,0.006694470648594079,0.006777220594806613,0.006917895503367923
fiqa_s_5bin,0.1,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.08507754485115332,0.09184834395741605,0.09350561871590984,0.09418742196227903,0.09526352106197017,-0.014922455148846686,-0.008151656042583957,-0.0064943812840901685,-0.005812578037720971,-0.004736478938029837,0.011452592555814838,0.012350429472220844,0.012586266818926568,0.012664879267828475,0.012892441619912947
fiqa_s_5bin,0.2,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.16669678648879543,0.17636935664059933,0.17878441874219622,0.17937996977065124,0.1811543011106,-0.03330321351120458,-0.023630643359400676,-0.02121558125780379,-0.020620030229348767,-0.01884569888940002,0.022673485262234578,0.02401817188818827,0.024320209191864027,0.02440295913807656,0.024659483971335418
fiqa_s_5bin,0.3,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.2517332588552277,0.26586835447197216,0.26823207596766774,0.26979488401130314,0.27056088585135046,-0.04826674114477231,-0.034131645528027846,-0.03176792403233225,-0.030205115988696837,-0.029439114148649526,0.03367922810850173,0.035363189513926814,0.03572315177995135,0.03589692666699767,0.036078976548665244
global_empirical,0.01,20,0,0.0,0,20,all_observed_splits_exceed,False,False,0.014802523493461261,0.014802523493461261,0.014802523493461261,0.014802523493461261,0.014802523493461261,0.004802523493461261,0.004802523493461261,0.004802523493461261,0.004802523493461261,0.004802523493461261,0.0013074491501580525,0.0013074491501580525,0.0013074491501580525,0.0013074491501580525,0.0013074491501580525
global_empirical,0.05,20,0,0.0,0,20,all_observed_splits_exceed,False,False,0.053147795229020176,0.053147795229020176,0.053147795229020176,0.053147795229020176,0.053147795229020176,0.0031477952290201727,0.0031477952290201727,0.0031477952290201727,0.0031477952290201727,0.0031477952290201727,0.006967545471095443,0.006967545471095443,0.006967545471095443,0.006967545471095443,0.006967545471095443
global_empirical,0.1,20,20,1.0,20,0,all_observed_splits_meet,False,False,0.09573174738778997,0.09573174738778997,0.09573174738778997,0.09573174738778997,0.09573174738778997,-0.004268252612210033,-0.004268252612210033,-0.004268252612210033,-0.004268252612210033,-0.004268252612210033,0.012776591695215398,0.012776591695215398,0.012776591695215398,0.012776591695215398,0.012776591695215398
